dataset	subject	session	run	method	image	mask	nominal_kernel_fwhm_mm	susan_spatial_sigma_mm	susan_masked_median	susan_brightness_threshold	fsl_version	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	105		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.81385	5.82574	5.82514	5.82158	0.566891	3.11052	11.1691	8.82949	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	105		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-105/func/sub-105_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	922.445679 	691.83425925	6.0.7.18	8.26044	8.40852	8.01296	8.22568	0.475482	4.72278	13.4154	13.193	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.80433	3.63171	3.78177	3.73848	0.895066	2.10828	20.4379	5.25597	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.74515	5.71232	5.74911	5.7355	0.574133	3.03418	11.2605	8.63704	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	910.598938 	682.9492035	6.0.7.18	8.44135	8.32187	8.03906	8.2657	0.475235	4.64211	14.0041	13.2121	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.81565	3.6678	3.80601	3.76254	0.891292	2.11846	20.7302	5.30625	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.6675	5.66	5.71668	5.68134	0.580614	3.00754	11.4454	8.5715	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	106		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	913.743286 	685.3074645	6.0.7.18	8.49455	8.44799	8.10775	8.3483	0.46941	4.68875	14.2299	13.4113	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.57261	3.63305	3.8493	3.68309	0.88848	2.07477	19.1821	5.17322	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.86108	5.85813	5.87904	5.86607	0.598755	3.0968	13.1118	8.90506	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	721.695801 	541.27185075	6.0.7.18	8.36962	8.5054	8.01737	8.29489	0.479026	4.54712	15.1168	13.2973	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.5398	3.61307	3.85397	3.66653	0.897659	2.08008	18.891	5.14816	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.83327	5.79604	5.83081	5.82002	0.59489	3.09616	11.9764	8.77667	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	723.069336 	542.302002	6.0.7.18	8.21238	8.34346	7.96932	8.17358	0.497685	4.53684	14.4481	12.9669	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.91354	3.82908	4.08648	3.94159	0.895792	2.2208	22.3668	5.53671	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.88939	5.87547	5.88673	5.88386	0.631024	3.13399	12.8207	8.77761	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	932.675964 	699.506973	6.0.7.18	8.48208	8.55682	8.17338	8.40244	0.508417	4.63113	14.6775	13.1403	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.82413	3.84701	4.03503	3.90093	0.893575	2.18896	21.7866	5.5017	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.69812	5.70138	5.72586	5.70844	0.627802	3.01397	12.3775	8.46114	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	935.767822 	701.8258665	6.0.7.18	8.44234	8.6073	8.12888	8.39048	0.499652	4.59167	14.9031	13.1768	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.78338	3.64376	3.90564	3.77608	0.890007	2.13121	20.3786	5.34981	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.81444	5.77663	5.78124	5.79074	0.576518	3.06687	11.6603	8.76168	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	794.348999 	595.76174925	6.0.7.18	8.37086	8.40456	8.23155	8.33532	0.45216	4.68733	13.8614	13.417	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.83683	3.73956	3.92304	3.83241	0.865718	2.12458	21.1493	5.44443	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.82091	5.81098	5.78145	5.80442	0.554465	2.97636	12.8831	8.86806	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	792.625916 	594.469437	6.0.7.18	8.72237	8.8638	8.48233	8.68807	0.42876	4.76968	15.7023	14.3542	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.55907	3.50491	3.68961	3.5837	0.903078	2.03554	18.4234	4.98836	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.8008	5.79632	5.79763	5.79825	0.587222	3.09612	11.5546	8.75528	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	875.887573 	656.91567975	6.0.7.18	8.31548	8.42365	7.83907	8.18874	0.481016	4.60962	13.4985	12.9662	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.58514	3.53478	3.57663	3.56545	0.899441	2.00866	18.6611	4.92531	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.87449	5.85753	5.72923	5.82005	0.564433	3.06649	11.2578	8.75979	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	877.763672 	658.322754	6.0.7.18	8.47041	8.60525	7.83646	8.29715	0.469015	4.60862	13.5389	13.0519	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.71913	3.5609	3.78875	3.68835	0.857662	2.03211	19.52	5.18165	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	afni_total_target	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						5.78169	5.73201	5.67449	5.72923	0.582266	2.89502	15.1836	8.76018	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	fsl_susan_kernel	/ZPOOL/data/projects/sharedreward-aging/derivatives/smoothing-validation/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-susanKernelFWHM6_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	6	2.54796540086	787.278748 	590.459061	6.0.7.18	8.96008	8.86817	8.02258	8.60637	0.453648	4.32188	19.803	14.183	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		02	baseline	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz						3.74538	3.58905	3.69052	3.67441	0.861632	2.0213	19.7956	5.1333	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
