dataset	subject	n_runs	excluded_runs	usable_runs	exclude_subject
rf1	10908	2	0	2	false
rf1	10913	2	0	2	false
rf1	10918	2	0	2	false
rf1	10919	2	0	2	false
rf1	10924	2	0	2	false
rf1	10926	2	0	2	false
rf1	10928	2	0	2	false
rf1	10929	2	0	2	false
rf1	10930	2	0	2	false
rf1	10938	2	0	2	false
rf1	10940	2	0	2	false
rf1	10950	2	0	2	false
rf1	10951	2	0	2	false
rf1	10952	2	0	2	false
rf1	10953	2	0	2	false
rf1	10954	2	1	1	false
rf1	10956	2	0	2	false
rf1	10958	2	0	2	false
rf1	10961	2	0	2	false
rf1	10964	2	0	2	false
rf1	10966	2	0	2	false
rf1	10969	2	0	2	false
rf1	10974	2	0	2	false
rf1	10977	2	0	2	false
rf1	10979	2	0	2	false
rf1	10983	2	0	2	false
rf1	10984	2	0	2	false
rf1	10998	2	0	2	false
rf1	11005	2	0	2	false
rf1	11007	2	0	2	false
rf1	11012	2	0	2	false
rf1	11016	2	0	2	false
rf1	11021	2	0	2	false
rf1	11030	2	0	2	false
rf1	11031	2	0	2	false
rf1	11036	2	0	2	false
rf1	11039	2	0	2	false
rf1	11042	2	0	2	false
rf1	11053	2	0	2	false
rf1	11058	2	0	2	false
rf1	11060	2	0	2	false
rf1	11063	2	0	2	false
rf1	11064	2	0	2	false
rf1	11065	2	0	2	false
rf1	11066	2	0	2	false
rf1	11068	2	0	2	false
rf1	11071	2	0	2	false
rf1	11072	2	0	2	false
rf1	11074	2	0	2	false
rf1	11075	2	0	2	false
rf1	11076	1	0	1	false
rf1	11078	2	0	2	false
rf1	11083	2	0	2	false
rf1	11084	2	0	2	false
rf1	11085	2	0	2	false
rf1	11090	2	0	2	false
rf1	11110	2	0	2	false
rf1	11113	2	0	2	false
rf1	11116	2	0	2	false
rf1	11120	2	0	2	false
rf1	11125	2	1	1	false
rf1	11126	1	0	1	false
rf1	11128	2	0	2	false
rf1	11134	2	0	2	false
rf1	11139	2	0	2	false
rf1	11145	2	0	2	false
rf1	11164	1	0	1	false
rf1	11167	2	0	2	false
rf1	11168	2	0	2	false
rf1	11171	2	0	2	false
rf1	11177	2	0	2	false
rf1	11192	2	0	2	false
rf1	11193	2	0	2	false
rf1	11201	1	0	1	false
rf1	11203	2	0	2	false
rf1	11209	2	0	2	false
rf1	11227	2	0	2	false
rf1	11238	2	0	2	false
rf1	11241	2	0	2	false
rf1	11246	2	0	2	false
rf1	11276	2	0	2	false
rf1	11286	1	0	1	false
rf1	11301	2	0	2	false
rf1	11311	2	0	2	false
rf1	11312	2	0	2	false
rf1	11316	2	0	2	false
rf1	11318	2	0	2	false
rf1	11321	2	0	2	false
rf1	11325	2	0	2	false
rf1	11326	2	0	2	false
rf1	11329	2	0	2	false
rf1	11330	2	0	2	false
rf1	11337	2	0	2	false
rf1	11338	2	0	2	false
rf1	11340	2	0	2	false
rf1	11343	2	0	2	false
rf1	11345	2	0	2	false
rf1	11348	2	0	2	false
rf1	11358	2	0	2	false
rf1	11364	2	0	2	false
rf1	11367	2	0	2	false
rf1	11374	2	0	2	false
rf1	11376	2	0	2	false
rf1	11377	2	0	2	false
rf1	11387	2	0	2	false
rf1	11410	2	0	2	false
rf1	11416	1	0	1	false
rf1	11426	1	0	1	false
rf1	11430	1	0	1	false
rf1	11432	2	0	2	false
rf1	11433	2	0	2	false
rf1	11435	2	0	2	false
rf1	11439	1	0	1	false
rf1	11440	2	0	2	false
rf1	11443	1	0	1	false
rf1	11450	1	0	1	false
rf1	11451	2	0	2	false
rf1	11461	2	0	2	false
rf1	11462	1	0	1	false
rf1	11472	2	0	2	false
rf1	11492	2	0	2	false
rf1	11493	2	0	2	false
rf1	11498	1	0	1	false
rf1	11517	2	0	2	false
rf1	11518	2	0	2	false
rf1	11523	2	0	2	false
rf1	11526	2	0	2	false
rf1	11527	2	0	2	false
rf1	11529	2	0	2	false
rf1	11530	2	0	2	false
rf1	11532	2	0	2	false
rf1	11533	2	0	2	false
rf1	11534	2	0	2	false
rf1	11535	2	0	2	false
rf1	11536	2	0	2	false
rf1	11539	2	0	2	false
rf1	11540	2	0	2	false
rf1	11542	2	0	2	false
rf1	11545	2	0	2	false
rf1	11551	2	0	2	false
rf1	11559	2	0	2	false
rf1	11560	2	0	2	false
rf1	11563	2	0	2	false
rf1	11570	2	0	2	false
rf1	11572	2	0	2	false
rf1	11579	2	0	2	false
rf1	11586	1	0	1	false
rf1	11587	2	0	2	false
rf1	11588	2	0	2	false
rf1	11591	2	0	2	false
rf1	11597	2	0	2	false
rf1	11598	2	0	2	false
rf1	11599	2	0	2	false
rf1	11600	2	0	2	false
rf1	11606	2	0	2	false
rf1	11614	2	0	2	false
rf1	11622	2	0	2	false
rf1	11623	1	0	1	false
rf1	11625	2	0	2	false
rf1	11626	2	0	2	false
rf1	11628	2	0	2	false
rf1	11631	2	0	2	false
rf1	11651	2	0	2	false
rf1	11660	2	0	2	false
rf1	11670	2	0	2	false
rf1	11674	1	0	1	false
rf1	11679	2	0	2	false
rf1	11681	2	0	2	false
rf1	11692	2	0	2	false
rf1	11694	1	0	1	false
rf1	11701	2	0	2	false
rf1	11703	2	0	2	false
rf1	11705	2	0	2	false
rf1	11709	2	0	2	false
rf1	11710	2	0	2	false
rf1	11714	2	0	2	false
rf1	11719	1	0	1	false
rf1	11720	2	0	2	false
rf1	11722	2	0	2	false
rf1	11723	2	0	2	false
rf1	11736	2	0	2	false
rf1	11744	2	0	2	false
rf1	11746	2	0	2	false
rf1	11748	2	0	2	false
rf1	11756	2	0	2	false
rf1	11764	2	0	2	false
rf1	11772	1	0	1	false
rf1	11773	2	0	2	false
rf1	11774	2	0	2	false
rf1	11784	2	0	2	false
rf1	11787	2	0	2	false
rf1	11788	2	0	2	false
rf1	11789	2	0	2	false
rf1	11790	2	0	2	false
rf1	11793	2	0	2	false
rf1	11795	2	0	2	false
rf1	11815	2	0	2	false
rf1	11822	2	0	2	false
rf1	11823	2	0	2	false
rf1	11824	2	0	2	false
rf1	11828	2	0	2	false
rf1	11829	2	1	1	false
rf1	11840	2	0	2	false
rf1	11847	2	0	2	false
rf1	11853	2	0	2	false
rf1	11854	2	0	2	false
rf1	11861	2	0	2	false
rf1	11866	2	0	2	false
rf1	11867	2	0	2	false
rf1	11870	2	0	2	false
rf1	11872	2	0	2	false
rf1	11876	2	0	2	false
rf1	11877	2	0	2	false
rf1	11881	2	0	2	false
rf1	11885	2	0	2	false
rf1	11891	2	0	2	false
rf1	11897	2	0	2	false
rf1	11900	2	0	2	false
rf1	11902	2	1	1	false
rf1	11909	2	0	2	false
rf1	11913	2	0	2	false
rf1	11914	2	0	2	false
rf1	11920	2	1	1	false
rf1	11922	2	0	2	false
rf1	11923	2	0	2	false
rf1	11924	2	0	2	false
rf1	11926	2	0	2	false
rf1	11928	2	0	2	false
rf1	11929	2	0	2	false
rf1	11931	2	0	2	false
rf1	11935	2	0	2	false
rf1	11939	2	0	2	false
rf1	11943	2	0	2	false
rf1	11949	2	0	2	false
rf1	11960	2	0	2	false
rf1	11969	2	0	2	false
rf1	11974	2	0	2	false
rf1	11976	2	0	2	false
rf1	11982	2	0	2	false
rf1	11984	2	0	2	false
rf1	12008	2	0	2	false
rf1	12011	2	0	2	false
rf1	12013	2	0	2	false
rf1	12018	2	0	2	false
rf1	12020	2	0	2	false
rf1	12021	2	0	2	false
rf1	12031	2	0	2	false
rf1	12032	2	0	2	false
rf1	12033	2	0	2	false
rf1	12036	2	0	2	false
rf1	12037	1	0	1	false
rf1	12038	2	0	2	false
rf1	12039	2	0	2	false
rf1	12041	1	1	0	true
rf1	12047	2	0	2	false
rf1	12049	2	0	2	false
rf1	12051	2	0	2	false
rf1	12054	2	0	2	false
rf1	12055	2	0	2	false
rf1	12057	2	0	2	false
