dataset	subject	session	run	input_bold	input_mask	output_bold	target_fwhm_mm	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	109		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.81444	5.77663	5.78124	5.79074	0.576532	3.06686	11.6607	8.76164	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.82091	5.81098	5.78145	5.80442	0.55445	2.97631	12.8826	8.86797	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.8008	5.79632	5.79763	5.79825	0.587218	3.09611	11.5545	8.75526	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.87449	5.85753	5.72923	5.82005	0.564416	3.06649	11.2574	8.75981	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.78169	5.73201	5.67449	5.72923	0.582373	2.89515	15.1884	8.76022	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.83473	5.7875	5.7585	5.79349	0.61148	2.95957	17.2104	8.88269	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.78335	5.77051	5.78389	5.77925	0.599301	3.0848	11.5344	8.6651	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.84884	5.798	5.85132	5.83267	0.577116	3.06793	12.1509	8.83462	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.7358	5.70814	5.71738	5.72043	0.603545	2.96101	14.0638	8.66034	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.73666	5.66844	5.7199	5.70826	0.616658	2.99223	14.5311	8.69934	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.77686	5.76885	5.76424	5.76998	0.577799	3.06141	11.4252	8.70583	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.75705	5.74504	5.75055	5.75088	0.567063	3.05128	10.9347	8.65698	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	116		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.76783	5.75735	5.71677	5.74727	0.605758	3.0604	11.4595	8.56622	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	116		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.76487	5.77896	5.69261	5.74535	0.599035	3.01919	11.9264	8.57011	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	117		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.7917	5.77774	5.76293	5.77745	0.552376	2.95247	13.2464	8.8781	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	117		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-117/func/sub-117_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.79037	5.77923	5.76927	5.77962	0.560673	2.98542	12.82	8.84013	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	118		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.84563	5.87795	5.79012	5.83779	0.551064	3.04111	11.8102	8.86968	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	118		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-118/func/sub-118_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	6.07519	6.01462	5.89177	5.99337	0.553827	3.11522	12.2067	9.08367	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	120		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.93702	5.93049	5.74005	5.86847	0.552064	2.97111	12.9719	8.88448	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	120		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-120/func/sub-120_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.87637	5.79725	5.61404	5.7615	0.539176	2.80411	13.6775	8.6779	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	121		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.77584	5.76036	5.80533	5.78048	0.662653	3.15185	12.2727	8.60157	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	121		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-121/func/sub-121_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.79429	5.76904	5.8084	5.79055	0.659804	3.13784	12.4823	8.60398	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	122		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.82214	5.77511	5.84497	5.814	0.61744	3.07712	13.5673	8.80137	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	122		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-122/func/sub-122_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.7578	5.77026	5.77661	5.76822	0.612557	3.05653	12.4738	8.65515	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	124		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.86984	5.80088	5.8157	5.82873	0.585856	3.0569	11.4688	8.66048	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	124		02	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-124/func/sub-124_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.82046	5.78734	5.7707	5.7928	0.593132	3.04338	11.757	8.63398	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	125		01	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-125/func/sub-125_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-125/func/sub-125_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-125/func/sub-125_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-smoothToFWHM6_bold.nii.gz	6	5.77808	5.74517	5.75458	5.75926	0.637681	3.08225	12.3573	8.56974	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
