dataset	subject	session	run	stage	input_bold	input_mask	voxel_size_x	voxel_size_y	voxel_size_z	n_volumes	tr_seconds	classic_fwhm_x	classic_fwhm_y	classic_fwhm_z	classic_fwhm_combined	acf_a	acf_b	acf_c	acf_effective_fwhm	afni_version
ds003745	106		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-106/func/sub-106_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.57551	3.3944	3.5455	3.50423	0.884869	1.96219	16.3523	4.77118	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.57261	3.63305	3.8493	3.68309	0.888521	2.07497	19.182	5.17365	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.28233	3.33388	3.58142	3.39674	0.878379	1.89668	14.7001	4.61928	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.5398	3.61307	3.85397	3.66653	0.897679	2.08007	18.8909	5.14805	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	107		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-107/func/sub-107_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.25145	3.31812	3.5907	3.38363	0.887554	1.90721	14.488	4.60845	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.91354	3.82908	4.08648	3.94159	0.895788	2.22081	22.367	5.53672	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-108/func/sub-108_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.69332	3.5838	3.88869	3.71982	0.887755	2.09589	17.7059	5.1243	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.82413	3.84701	4.03503	3.90093	0.893567	2.18895	21.7866	5.50171	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	108		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-108/func/sub-108_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.587	3.60786	3.83181	3.67391	0.886084	2.05924	17.3319	5.02828	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.78338	3.64376	3.90564	3.77608	0.890013	2.13118	20.3787	5.34969	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-109/func/sub-109_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.56503	3.36125	3.68196	3.53358	0.882072	1.98596	16.1064	4.84093	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.83683	3.73956	3.92304	3.83241	0.865703	2.12456	21.1493	5.44442	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	109		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-109/func/sub-109_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.61685	3.46378	3.70703	3.59447	0.857847	1.97396	16.7831	4.91533	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.55907	3.50491	3.68961	3.5837	0.903075	2.03546	18.4233	4.98815	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-110/func/sub-110_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.28516	3.17948	3.41726	3.29253	0.891824	1.85024	14.0268	4.45392	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.58514	3.53478	3.57663	3.56545	0.899433	2.00859	18.6612	4.92513	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	110		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-110/func/sub-110_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.31684	3.20928	3.27932	3.26818	0.888193	1.81297	14.2498	4.3838	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.71913	3.5609	3.78875	3.68835	0.857633	2.03202	19.52	5.1815	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-111/func/sub-111_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.42119	3.20926	3.48707	3.3704	0.847073	1.8158	14.7282	4.54817	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.74538	3.58905	3.69052	3.67441	0.861634	2.02131	19.7955	5.1333	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	111		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-111/func/sub-111_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.44213	3.23442	3.38621	3.3531	0.851682	1.80215	14.9208	4.50129	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.70266	3.47878	3.77666	3.65048	0.905202	2.07856	19.0316	5.11256	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-112/func/sub-112_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.44665	3.14898	3.4979	3.36092	0.89593	1.903	14.6004	4.56845	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.74408	3.53183	3.82347	3.69772	0.889075	2.08545	19.5267	5.20578	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	112		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-112/func/sub-112_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.48679	3.20109	3.55125	3.40958	0.880307	1.90864	15.0109	4.64398	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	4.04446	3.67331	3.78121	3.82986	0.869241	2.11998	19.2594	5.39945	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-113/func/sub-113_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.85373	3.4056	3.51394	3.5861	0.868429	1.97066	17.6576	4.87062	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	4.03868	3.66853	3.79069	3.82957	0.869438	2.12882	19.4255	5.42155	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	113		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-113/func/sub-113_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.85518	3.40882	3.54217	3.59727	0.868783	1.98713	17.7371	4.91255	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.76593	3.72144	3.85119	3.77914	0.891542	2.13297	20.7354	5.35076	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		01	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-115/func/sub-115_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.52791	3.44439	3.59804	3.52289	0.883546	1.97934	16.348	4.82012	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		02	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.78479	3.7265	3.84977	3.78669	0.892062	2.13814	20.8461	5.3654	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	115		02	pre_resample	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fmriprep/sub-115/func/sub-115_task-sharedreward_run-02_space-MNI152NLin6Asym_desc-brain_mask.nii.gz	2.973	2.973	3.22	202	2.02	3.54801	3.44869	3.59326	3.52947	0.884536	1.98489	16.4454	4.83125	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
ds003745	116		01	post_resample_preblur	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_bold.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/harmonized/sub-116/func/sub-116_task-sharedreward_run-01_space-MNI152NLin6Asym_desc-rf1Grid_mask.nii.gz	2.7	2.7	2.97	202	2.02	3.81055	3.57832	3.76365	3.71614	0.906967	2.10758	20.0862	5.1999	Precompiled binary linux_ubuntu_24_64: Aug  4 2026 (Version AFNI_26.2.03 'Gordian III')
