dataset	subject	ratings_file	source_resolution	candidate_count	candidate_files	ratings_file_sha256	n_source_rows	n_rating_blocks	selected_rating_block	n_selected_rows	partner_1_trait_0_n	partner_1_trait_0_mean	partner_1_trait_1_n	partner_1_trait_1_mean	partner_2_trait_0_n	partner_2_trait_0_mean	partner_2_trait_1_n	partner_2_trait_1_mean	partner_3_trait_0_n	partner_3_trait_0_mean	partner_3_trait_1_n	partner_3_trait_1_mean	win_sum	loss_sum	identical_ratings	exclude_subject	exclusion_reason	review_flags
ds003745	120	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/120/sub120_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/120/sub120_SR-Ratings-2.csv	b7a4c24ef094d27f4c65760e9409f33c185c8dd6eaed53c8203e49e996980e87	6	1	1	6	1	1.0	1	-1.0	1	3.0	1	-3.0	1	4.0	1	-5.0	8.0	-9.0	false	false		
ds003745	121	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/121/sub121_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/121/sub121_SR-Ratings-2.csv	02cd42d3b701e65f1ccfb2428a6e95d7a4cd57acb244d7fed0960e7e62fe2ed3	6	1	1	6	1	0.0	1	-2.0	1	0.0	1	-1.0	1	1.0	1	-2.0	1.0	-5.0	false	false		
ds003745	122	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/122/sub122_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/122/sub122_SR-Ratings-2.csv	75fb1452d75cb9d5448c2152393ebaac431699cd5f5d2d5a9edd3e007cead774	6	1	1	6	1	0.0	1	-1.0	1	2.0	1	-2.0	1	4.0	1	-3.0	6.0	-6.0	false	false		
ds003745	124	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/124/sub124_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/124/sub124_SR-Ratings-2.csv	15849420bc619b9637703c27a6a45aba22bae8dcf6980371ec1e4c8825d1d27a	6	1	1	6	1	0.0	1	0.0	1	3.0	1	-4.0	1	5.0	1	-5.0	8.0	-9.0	false	false		
ds003745	125	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/125/sub125_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/125/sub125_SR-Ratings-2.csv	b603365647fc644515866e1718af132a398f7b3ff957bd9ea243673094bd3ff6	6	1	1	6	1	3.0	1	1.0	1	3.0	1	1.0	1	5.0	1	4.0	11.0	6.0	false	false		
ds003745	126	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/126/sub126_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/126/sub126_SR-Ratings-2.csv	c93c9f64803f88b4fa902c481d4934f3f2c016acdd5432a883d17e3bf4cfbec4	6	1	1	6	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	true	true	identical_ratings	
ds003745	127	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/127/sub127_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/127/sub127_SR-Ratings-2.csv	fb92c707ddf4d9eb5a721785e744c1089e74a9afc0990fa33e4705f3044b44c0	6	1	1	6	1	0.0	1	5.0	1	3.0	1	4.0	1	3.0	1	3.0	6.0	12.0	false	true	loss_sum_greater_than_win_sum	
ds003745	128	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/128/sub128_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/128/sub128_SR-Ratings-2.csv	f57bfb2916d9037fda60b219b3dc864d29f67bb558bb7940137cc209c0844a42	6	1	1	6	1	4.0	1	2.0	1	4.0	1	4.0	1	5.0	1	3.0	13.0	9.0	false	false		
ds003745	129	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/129/sub129_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/129/sub129_SR-Ratings-2.csv	bb67581ba6c0cbc04f9e3b432c43efb563fbaa529d825c477ee70737a0151455	6	1	1	6	1	0.0	1	0.0	1	5.0	1	0.0	1	5.0	1	0.0	10.0	0.0	false	false		
ds003745	130		missing	0			0	0		0																true	missing_ratings_file	
ds003745	131		missing	0			0	0		0																true	missing_ratings_file	
ds003745	132		missing	0			0	0		0																true	missing_ratings_file	
ds003745	133		missing	0			0	0		0																true	missing_ratings_file	
ds003745	134		missing	0			0	0		0																true	missing_ratings_file	
ds003745	135		missing	0			0	0		0																true	missing_ratings_file	
ds003745	136	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/136/sub136_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/136/sub136_SR-Ratings-2.csv	cb39d81fd7baabef193acc5662ff01b272e5575442d69951b234c862974a852f	6	1	1	6	1	3.0	1	-1.0	1	4.0	1	-1.0	1	5.0	1	-1.0	12.0	-3.0	false	false		
ds003745	137	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/137/sub137_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/137/sub137_SR-Ratings-2.csv	a5c509d7c3f79ea11c5fb1c671d30fca5bbbafec3feeb951de19e8b1f0d83eef	6	1	1	6	1	1.0	1	0.0	1	4.0	1	-2.0	1	5.0	1	-4.0	10.0	-6.0	false	false		
ds003745	138	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/138/sub138_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/138/sub138_SR-Ratings-2.csv	d553de7fa1d0554e0fcb12371c0a4cba366412d5312224b93cbc60f84a9d3df5	6	1	1	6	1	0.0	1	0.0	1	5.0	1	-5.0	1	5.0	1	-5.0	10.0	-10.0	false	false		
ds003745	140	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/140/sub140_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/140/sub140_SR-Ratings-2.csv	73b0d1cc23603552c023bb0b6d4eb2517104bc3cbb3b4c2f66ab6dda0020d3d2	6	1	1	6	1	5.0	1	5.0	1	5.0	1	5.0	1	5.0	1	5.0	15.0	15.0	true	true	identical_ratings	
ds003745	141	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/141/sub141_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/141/sub141_SR-Ratings-2.csv	7a000ad3ff79bf38307208442731f1555830fdb24897dcd3546051d94064933a	6	1	1	6	1	5.0	1	0.0	1	5.0	1	0.0	1	5.0	1	0.0	15.0	0.0	false	false		
ds003745	142	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/142/sub142_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/142/sub142_SR-Ratings-2.csv	1cd1d213047d1a5931db920dddcf8d61ef345398769f6d2875086cf0450ddb4f	6	1	1	6	1	4.0	1	3.0	1	4.0	1	3.0	1	5.0	1	0.0	13.0	6.0	false	false		
ds003745	143		missing	0			0	0		0																true	missing_ratings_file	
ds003745	144	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/144/sub144_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/144/sub144_SR-Ratings-2.csv	a3407594387f590685019d719eab5d04602744dbde8df11042b88b8362f2b86f	13	2	2	6	1	3.0	1	-2.0	1	1.0	1	-1.0	1	3.0	1	0.0	7.0	-3.0	false	false		selected_last_complete_block:2_of_2
ds003745	145	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/145/sub145_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/145/sub145_SR-Ratings-2.csv	c14a16b62ecb88115d290fb4849c62d5b7e5f54d55494b2050b8c324710e6908	6	1	1	6	1	0.0	1	0.0	1	4.0	1	-3.0	1	4.0	1	-3.0	8.0	-6.0	false	false		
ds003745	147	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/147/sub147_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/147/sub147_SR-Ratings-2.csv	004278fd0feaeb1bb3d44af27f4c1f3c037a05401d4c61719309bdbd674f32b4	6	1	1	6	1	2.0	1	-1.0	1	4.0	1	-1.0	1	4.0	1	0.0	10.0	-2.0	false	false		
ds003745	149	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/149/sub149_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/149/sub149_SR-Ratings-2.csv	295868b6118a209085ff279bab6f89e92c01459a6c9a9fb98284d9be20c5b030	6	1	1	6	1	0.0	1	0.0	1	1.0	1	0.0	1	0.0	1	0.0	1.0	0.0	false	false		
ds003745	150	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/150/sub150_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/150/sub150_SR-Ratings-2.csv	c9a564379ac850483461eb7615690931ce53b4a92aa0ce891b03c6016a9a03e4	6	1	1	6	1	0.0	1	0.0	1	0.0	1	0.0	1	2.0	1	-2.0	2.0	-2.0	false	false		
ds003745	151	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/151/sub151_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/151/sub151_SR-Ratings-2.csv	74156cc9b0672d7b38fc76ab429ab4138e7a298e659f2a420b97cff8ac9658e1	6	1	1	6	1	2.0	1	0.0	1	0.0	1	-3.0	1	1.0	1	0.0	3.0	-3.0	false	false		
ds003745	152	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/152/sub152_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/152/sub152_SR-Ratings-2.csv	c8c0fa01cf9969d2bdf619cca89243fbd72f88060a41d78bc3f398cfd8b8f648	6	1	1	6	1	0.0	1	-4.0	1	2.0	1	4.0	1	4.0	1	4.0	6.0	4.0	false	false		
ds003745	153	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/153/sub153_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/153/sub153_SR-Ratings-2.csv	a2cf0d67c67fccc45bfc18953f80d24f1165dcd24ed31092e3d06dde85840f8b	6	1	1	6	1	1.0	1	-1.0	1	0.0	1	-3.0	1	3.0	1	-2.0	4.0	-6.0	false	false		
ds003745	154	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/154/sub154_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/154/sub154_SR-Ratings-2.csv	e1862c30d779be31221af2e68f9587c727c89b36c2c3751eb7028ea572b3287e	6	1	1	6	1	0.0	1	0.0	1	4.0	1	0.0	1	5.0	1	0.0	9.0	0.0	false	false		
ds003745	155	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/155/sub155_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/155/sub155_SR-Ratings-2.csv	a1201235f96f8a28836ab9a1e54032d17c6e612f1a7a2b943a1cd3aace62ec47	6	1	1	6	1	0.0	1	0.0	1	0.0	1	0.0	1	0.0	1	-1.0	0.0	-1.0	false	false		
ds003745	156	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/156/sub156_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/156/sub156_SR-Ratings-2.csv	eb31b98a8c37a0a6fe4e2b556ab6006ededb7f1ef4b98d445464d30a56d4db65	6	1	1	6	1	5.0	1	-5.0	1	5.0	1	-5.0	1	5.0	1	-5.0	15.0	-15.0	false	false		
ds003745	157	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/157/sub157_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/157/sub157_SR-Ratings-2.csv	15dc728bf18fde5b96897d28fa0353d298cab7e06fd234581738f5de4dc7b6d8	6	1	1	6	1	3.0	1	-2.0	1	3.0	1	-4.0	1	3.0	1	-4.0	9.0	-10.0	false	false		
ds003745	158	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/158/sub158_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/158/sub158_SR-Ratings-2.csv	082571c63c984e6ea2654904f96ddb3f778475e765d0bd9cb215915d99cac46c	6	1	1	6	1	1.0	1	0.0	1	2.0	1	0.0	1	4.0	1	-3.0	7.0	-3.0	false	false		
ds003745	159	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/159/sub159_SR-Ratings-2.csv	unique	1	/ZPOOL/data/projects/sharedreward-aging/sourcedata/ds003745/stimuli/psychopy/logs/159/sub159_SR-Ratings-2.csv	361b69d5ad566424dcb8843a098f43cf5effd7b72924d3870c005c096c7a2dd7	6	1	1	6	1	3.0	1	-3.0	1	3.0	1	-3.0	1	4.0	1	-5.0	10.0	-11.0	false	false		
rf1	10317	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10317/sub10317_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10317/sub10317_SR-Ratings-1.csv	f3cef80de18532a1071f0441123d68072c598fa6c5854c0782c402fc6d8277e7	6	1	1	6	1	0.0	1	0.0	1	4.0	1	-1.0	1	5.0	1	-2.0	9.0	-3.0	false	false		
rf1	10369	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10369/sub10369_SR-Ratings-2.csv	explicit_map	2	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10369/sub10369_SR-Ratings-1.csv;/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10369/sub10369_SR-Ratings-2.csv	4553483a5440aa3e913f09fc719273a55c89894e16adc8120ea4ffa1cd6a68d6	6	1	1	6	1	4.0	1	-2.0	1	4.0	1	-2.0	1	5.0	1	-5.0	13.0	-9.0	false	false		
rf1	10402	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10402/sub10402_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10402/sub10402_SR-Ratings-1.csv	6fd6a28f5898c2b0d85cd4b2fa813f53f44651b186754b4c33fcde9194516431	6	1	1	6	1	3.0	1	-5.0	1	5.0	1	-5.0	1	5.0	1	-5.0	13.0	-15.0	false	false		
rf1	10418		missing	0			0	0		0																true	missing_ratings_file	
rf1	10462	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10462/sub10462_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10462/sub10462_SR-Ratings-1.csv	6ff7047ecefeceabf363cf96e1d676edc25968d64308970efb4b98dec16d258e	6	1	1	6	1	0.0	1	-5.0	1	5.0	1	0.0	1	5.0	1	0.0	10.0	-5.0	false	false		
rf1	10478		missing	0			0	0		0																true	missing_ratings_file	
rf1	10486	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10486/sub10486_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10486/sub10486_SR-Ratings-1.csv	552d71dad84ff0b5e8c5e89494eb2e01690166a0c6066278a824d35c3b8074d9	6	1	1	6	1	4.0	1	-2.0	1	5.0	1	-2.0	1	5.0	1	-5.0	14.0	-9.0	false	false		
rf1	10529	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10529/sub10529_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10529/sub10529_SR-Ratings-1.csv	de07dd09aca8330e1601271307324c22213ae92a82fc2f1af7565167e7c4ec25	6	1	1	6	1	5.0	1	-3.0	1	5.0	1	-4.0	1	5.0	1	-5.0	15.0	-12.0	false	false		
rf1	10541	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10541/sub10541_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10541/sub10541_SR-Ratings-1.csv	526703a94ceab38fd30ca9cde30460bd765be56c338542e628f6862166aa159f	6	1	1	6	1	5.0	1	0.0	1	4.0	1	0.0	1	5.0	1	-2.0	14.0	-2.0	false	false		
rf1	10559	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10559/sub10559_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10559/sub10559_SR-Ratings-1.csv	e2fd873f4233c2f29adaf8c1cebad34c55ee7c29f67c9ea89e6162cc7a946495	6	1	1	6	1	0.0	1	0.0	1	3.0	1	0.0	1	3.0	1	-4.0	6.0	-4.0	false	false		
rf1	10572	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10572/sub10572_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10572/sub10572_SR-Ratings-1.csv	daaeef3fe625f4d564328ed41001dc6c1be33446dd70bb9f259462bcc20ce951	6	1	1	6	1	3.0	1	0.0	1	5.0	1	-2.0	1	5.0	1	-2.0	13.0	-4.0	false	false		
rf1	10581		missing	0			0	0		0																true	missing_ratings_file	
rf1	10584	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10584/sub10584_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10584/sub10584_SR-Ratings-1.csv	c0882c4fda555ec9b59562e6c5ffbd91a5a43e3d8b70cc10c5ed6276f1ea26f0	6	1	1	6	1	5.0	1	-5.0	1	5.0	1	-5.0	1	5.0	1	-5.0	15.0	-15.0	false	false		
rf1	10585	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10585/sub10585_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10585/sub10585_SR-Ratings-1.csv	a2a9f513df4d724ebddc5e5057f18b0f6c99f101330afb1603cd858799020128	6	1	1	6	1	3.0	1	-2.0	1	5.0	1	-3.0	1	5.0	1	-3.0	13.0	-8.0	false	false		
rf1	10589	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10589/sub10589_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10589/sub10589_SR-Ratings-1.csv	a3ca72a54dd3fb7ad27b48c2f5abf36655500d6f4f6ffb20e1c833161c54f90b	6	1	1	6	1	1.0	1	-3.0	1	1.0	1	-3.0	1	4.0	1	-4.0	6.0	-10.0	false	false		
rf1	10590	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10590/sub10590_SR-Ratings-1.csv	unique	1	/ZPOOL/data/projects/rf1-sra/stimuli/Scan-Card_Guessing_Game/logs/10590/sub10590_SR-Ratings-1.csv	fa6b1b7bf81d3456e590748844af5a65c2c21ecd1f7e65da68442b55418b6e1e	6	1	1	6	1	-3.0	1	0.0	1	3.0	1	-2.0	1	5.0	1	-4.0	5.0	-6.0	false	false		
