Subject,Run,vsmean_stan,fd_mean
154,2,45.768917,0.262665321716418
155,1,81.824465,0.101754450434826
155,2,96.257916,0.0817542820597015
156,1,50.787049,0.232349010599005
156,2,50.118604,0.213310797094527
157,1,61.53151,0.181196332069851
157,2,37.738633,0.117174716208955
158,1,77.610855,0.113922399859701
158,2,63.955315,0.179522298791045
159,1,94.169096,0.0934530412228855
159,2,86.700844,0.109297627154891
10317,1,31.127305,0.167343421893701
10317,2,31.002105,0.175303480209449
10369,1,32.106484,0.129051600683071
10369,2,32.329883,0.102514377608346
10402,1,29.628546,0.174677628107874
10402,2,28.764295,0.163206830056067
10418,1,32.44112,0.131365143689646
10418,2,29.770913,0.123711893211024
10462,1,24.171548,0.126056445525984
10478,1,36.000543,0.0961626118602362
10486,1,27.218073,0.143398465992126
10486,2,28.751678,0.140692723992126
10529,1,28.541594,0.162917070200787
10529,2,29.153135,0.171450335767717
10541,1,25.526209,0.335579437429921
10541,2,23.504734,0.305895630385039
10559,1,30.142414,0.179546999417323
10559,2,28.191895,0.232159001797638
10572,1,29.711643,0.292942604706299
10572,2,26.284555,0.281575647814961
10581,1,23.828172,0.136209367337402
10581,2,25.172631,0.158704817314961
10584,1,32.406897,0.103857607862992
10585,1,34.164445,0.254755780909882
10585,2,34.311225,0.216803118850394
10589,1,32.498858,0.129833813740252
10589,2,32.700926,0.0992921015111417
10590,1,31.063702,0.122763317343307
10590,2,30.033294,0.130947928761134
10596,1,31.7999,0.206936199142126
10596,2,31.927624,0.235814333128346
10603,1,33.316786,0.178916755582677
10606,1,37.143489,0.071679975398213
10606,2,37.607013,0.100885261706772
10608,1,43.486676,0.167590569733756
10608,2,40.625075,0.128105484667717
10617,1,34.385345,0.193411614728346
10636,1,35.015518,0.154766552102362
10636,2,34.683229,0.121663951543307
10638,1,37.466624,0.150138082874016
10638,2,36.008964,0.159032740899685
10640,1,55.989535,0.103112531796825
10640,2,50.484473,0.0879668436889764
10641,1,32.648707,0.192213936731496
10642,1,53.973403,0.223372069876548
10642,2,51.932137,0.202254177738976
10644,1,30.615411,0.183564594991339
10644,2,31.343992,0.180494318297795
10647,1,54.085685,0.103013129537677
10647,2,59.532193,0.104866614309362
10649,1,32.293776,0.211840605511811
10649,2,25.393167,0.249818556996457
10652,1,38.271684,0.158357765793701
10652,2,36.940463,0.15200982311811
10656,1,36.879866,0.126500422700787
10656,2,35.811294,0.103678544095276
10657,1,26.356829,0.239336301488189
10657,2,25.470388,0.312376870540945
10661,1,23.487284,0.0933861543582677
10661,2,24.773005,0.0829162909007874
10663,1,33.598248,0.18218389820315
10663,2,34.897857,0.133951796040157
10668,1,49.295579,0.0809307518503937
10673,1,32.710122,0.307263836826772
10673,2,33.588457,0.27522003593937
10674,1,32.886991,0.128226508559055
10674,2,29.062772,0.0763413034625984
10677,1,27.312375,0.188212021751968
10677,2,24.81233,0.21798079780315
10685,1,52.721002,0.153111687567165
10685,2,43.538826,0.0928811024527559
10690,1,48.786155,0.218447623864055
10690,2,51.056063,0.208839162452756
10691,1,34.426198,0.127325298007874
10691,2,34.529975,0.128339011636232
10700,1,36.617655,0.211551869586614
10700,2,40.607471,0.114814588897402
10701,1,27.675924,0.0712203573954724
10701,2,29.505166,0.073506740023622
10713,1,49.316777,0.345263921097953
10713,2,48.392774,0.28591992566748
10716,1,50.364742,0.155647756901811
10716,2,52.769726,0.15153804996063
10718,1,44.492761,0.240740081594488
10718,2,50.096092,0.235686407573598
10720,1,54.783834,0.0845562412663252
10720,2,52.674519,0.0993201256376378
10723,1,26.112043,0.137585377212598
10723,2,24.870961,0.0884564514826771
10741,1,27.805927,0.202589423244252
10741,2,27.602487,0.190886659448819
10748,1,57.433854,0.0856845985355512
10748,2,56.082574,0.0879245073594488
10767,1,54.085678,0.097805033507874
10767,2,49.088121,0.0788771692783464
10770,1,42.859806,0.243571679338969
10770,2,47.202389,0.20209752719685
10777,1,44.378658,0.111838591688819
10777,2,41.982594,0.143810774638583
10781,1,49.491408,0.0995576946488189
10781,2,55.536929,0.0944894913090551
10783,1,50.222203,0.271090947999094
10783,2,51.519303,0.272656086011614
10785,1,43.702147,0.176447463362598
10785,2,44.923886,0.182758556729134
10794,1,47.027155,0.0600412329781889
10794,2,46.234549,0.0648293842442795
10800,1,40.952853,0.127161995652609
10800,2,39.827512,0.215527925488504
10801,1,58.15494,0.1516295520845
10801,2,52.705596,0.16803260933937
10802,1,49.314556,0.154792143850394
10802,2,48.169215,0.130454399504961
10803,1,61.418492,0.0668290410267638
10804,1,50.825728,0.0981577892299213
10804,2,49.173832,0.151838721866142
10806,1,43.971018,0.365694796879882
10806,2,43.055319,0.264608062914094
10807,2,36.427392,0.400895274681102
10809,1,51.101545,0.107273199173228
10810,1,43.174419,0.145212105144094
10810,2,38.905,0.195520670497047
10812,1,43.836739,0.138066056027559
10812,2,50.87712,0.159200754444882
10817,1,54.202329,0.192804115205512
10817,2,51.011212,0.339367433266297
10827,1,51.567373,0.121217068389197
10827,2,52.652522,0.122343854338087
10831,1,49.610204,0.252615148533929
10831,2,46.817417,0.299194667527559
10834,1,50.783602,0.0959965452598425
10834,2,49.253987,0.0940931391664882
10838,1,40.868925,0.12571780611811
10838,2,27.478227,0.326368397717323
10843,1,39.450689,0.10910780157713
10843,2,35.83107,0.0980671635847834
10850,1,58.048233,0.0912586089763779
10850,2,57.036666,0.0742322210320236
10854,1,40.74781,0.131458156663228
10854,2,44.499732,0.126012137370079
10857,1,38.622986,0.208199747270783
10857,2,35.836829,0.147215346162992
10858,1,42.858608,0.223845817901272
10858,2,43.244965,0.218353875894409
10860,1,54.599901,0.217224355062205
10860,2,39.950948,0.0845674118958268
10862,1,46.118047,0.163921554617008
10862,2,45.486383,0.143647151331929
10863,1,45.363904,0.113861365555118
10863,2,46.34767,0.148856170711945
10866,1,49.448661,0.195591230559055
10866,2,46.466776,0.200256006650394
10875,1,47.031619,0.150789674510366
10875,2,47.963716,0.129972398992571
10887,1,39.439566,0.327673978188976
10887,2,34.742965,0.211155944837917
10896,1,46.925029,0.175271944838583
10896,2,53.072583,0.146397121998425
10897,1,44.138494,0.140639725574803
10898,1,41.284051,0.256187018285039
10898,2,45.195635,0.27772861862126
10908,1,38.391301,0.282336652897638
10908,2,40.190249,0.296311691308622
10913,1,42.78371,0.205928405700787
10913,2,41.09453,0.257639111141732
10918,1,58.5881,0.115838379158472
10918,2,56.739597,0.114240256525118
10924,1,58.641801,0.15724785496063
10924,2,60.765061,0.125573261927795
10928,1,50.945661,0.264350458031496
10928,2,47.427395,0.177810468305512
10929,1,52.606015,0.175350448632008
10929,2,52.314277,0.161116291757321
10930,1,49.794499,0.104811389810236
10930,2,46.102367,0.0956265990669291
10938,1,47.99617,0.287204719707835
10938,2,40.569039,0.225701654547398
10940,1,41.417713,0.113570820192913
10940,2,42.657376,0.0874409763287519
10950,1,36.159073,0.29352913531
10950,2,40.375107,0.38953885307874
10951,1,43.540112,0.251725502066929
10951,2,40.480597,0.225454543379921
10952,1,34.918208,0.129678100551181
10952,2,43.374017,0.170101370882229
10953,1,37.443936,0.340849217531496
10953,2,35.263128,0.441278562007874
10954,1,35.074726,0.426596569248031
10956,1,54.815724,0.0898617422504724
10956,2,54.047404,0.0827795094787401
10958,1,51.060106,0.162050450956366
10958,2,42.209399,0.290604044751181
10969,1,57.993729,0.0661593103818897
10969,2,58.743504,0.0541683831509842
10974,2,47.765127,0.292531376470472
10977,1,43.972848,0.0897363697968504
10977,2,46.337484,0.0942405864913149
10983,1,55.970331,0.296016476262992
10983,2,57.124313,0.26244444511811
10984,1,40.239686,0.232690102378608
10984,2,38.185517,0.181121380058268
11031,1,56.074851,0.129847432877165
11031,2,55.338009,0.117198650480874
