sub,partner_1_trait_0,partner_1_trait_1,partner_2_trait_0,partner_2_trait_1,partner_3_trait_0,partner_3_trait_1,age,diff_partner_3_2_trait_0,diff_partner_3_1_trait_0,diff_partner_3_2_trait_1,diff_partner_3_1_trait_1,Fwin_minus_Floss_minus_Swin_minus_Sloss,Fwin_minus_Floss_minus_Cwin_minus_Closs,FSC_win_minus_FSC_loss
10887,5.0,1.0,5.0,1.0,5.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
10896,5.0,5.0,5.0,3.0,5.0,3.0,28.0,0.0,0.0,0.0,-2.0,0.0,2.0,4.0
10897,1.0,0.0,2.0,1.0,5.0,3.0,31.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0
10898,0.0,0.0,3.0,2.0,5.0,5.0,61.0,2.0,5.0,3.0,5.0,-1.0,0.0,1.0
10908,2.0,1.0,2.0,1.0,5.0,5.0,42.0,3.0,3.0,4.0,4.0,-1.0,-1.0,2.0
10913,5.0,5.0,5.0,5.0,5.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10918,0.0,0.0,0.0,0.0,3.0,2.0,24.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
10919,2.0,1.0,3.0,2.0,5.0,3.0,49.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0
10924,1.0,2.0,1.0,1.0,5.0,3.0,32.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0
10926,2.0,2.0,1.0,0.0,3.0,2.0,35.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0
10928,1.0,0.0,3.0,0.0,5.0,0.0,55.0,2.0,4.0,0.0,0.0,2.0,4.0,9.0
10929,5.0,0.0,5.0,3.0,5.0,5.0,42.0,0.0,0.0,2.0,5.0,-2.0,-5.0,7.0
10930,5.0,1.0,5.0,3.0,5.0,5.0,49.0,0.0,0.0,2.0,4.0,-2.0,-4.0,6.0
10938,5.0,5.0,5.0,5.0,5.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10940,2.0,2.0,0.0,0.0,2.0,3.0,22.0,2.0,0.0,3.0,1.0,-1.0,-1.0,-1.0
10950,0.0,0.0,0.0,0.0,2.0,3.0,24.0,2.0,2.0,3.0,3.0,-1.0,-1.0,-1.0
10951,1.0,1.0,2.0,1.0,5.0,5.0,21.0,3.0,4.0,4.0,4.0,-1.0,0.0,1.0
10952,0.0,0.0,5.0,0.0,5.0,0.0,32.0,0.0,5.0,0.0,0.0,0.0,5.0,10.0
10953,5.0,0.0,5.0,0.0,5.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
10954,4.0,0.0,5.0,1.0,0.0,4.0,46.0,-5.0,-4.0,3.0,4.0,-8.0,-8.0,4.0
10956,0.0,5.0,5.0,5.0,5.0,5.0,28.0,0.0,5.0,0.0,0.0,0.0,5.0,-5.0
10958,2.0,2.0,2.0,1.0,5.0,0.0,34.0,3.0,3.0,-1.0,-2.0,4.0,5.0,6.0
10961,5.0,1.0,5.0,3.0,4.0,5.0,23.0,-1.0,-1.0,2.0,4.0,-3.0,-5.0,5.0
10964,4.0,3.0,2.0,3.0,0.0,3.0,60.0,-2.0,-4.0,0.0,0.0,-2.0,-4.0,-3.0
10966,0.0,0.0,2.0,0.0,4.0,4.0,34.0,2.0,4.0,4.0,4.0,-2.0,0.0,2.0
10969,0.0,0.0,0.0,0.0,5.0,5.0,26.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
10974,1.0,0.0,1.5,0.5,4.0,2.0,80.0,2.5,3.0,1.5,2.0,1.0,1.0,4.0
10979,2.0,1.0,1.0,0.0,4.0,5.0,32.0,3.0,2.0,5.0,4.0,-2.0,-2.0,1.0
10983,0.0,5.0,2.0,1.0,5.0,0.0,24.0,3.0,5.0,-1.0,-5.0,4.0,10.0,1.0
10984,5.0,5.0,5.0,5.0,0.0,5.0,52.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,-5.0
10998,2.0,2.0,0.0,0.0,5.0,3.0,21.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0
11005,2.0,2.5,2.5,2.5,3.0,2.5,36.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0
11007,0.0,0.0,0.0,1.0,5.0,2.0,46.0,5.0,5.0,1.0,2.0,4.0,3.0,2.0
11012,5.0,5.0,5.0,2.0,5.0,5.0,58.0,0.0,0.0,3.0,0.0,-3.0,0.0,3.0
11016,1.0,1.0,4.0,2.0,5.0,3.0,22.0,1.0,4.0,1.0,2.0,0.0,2.0,4.0
11021,5.0,0.0,3.0,2.0,5.0,4.0,25.0,2.0,0.0,2.0,4.0,0.0,-4.0,7.0
11030,2.0,1.0,1.0,2.0,2.0,3.0,23.0,1.0,0.0,1.0,2.0,0.0,-2.0,-1.0
11031,2.0,5.0,3.0,4.0,5.0,4.0,23.0,2.0,3.0,0.0,-1.0,2.0,4.0,-3.0
11036,2.0,2.0,2.0,3.0,5.0,2.0,22.0,3.0,3.0,-1.0,0.0,4.0,3.0,2.0
11039,5.0,5.0,4.0,5.0,5.0,5.0,41.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
11042,0.0,0.0,0.0,0.0,4.0,3.0,29.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0
11053,0.0,1.0,3.0,2.0,5.0,5.0,30.0,2.0,5.0,3.0,4.0,-1.0,1.0,0.0
11060,0.0,0.0,0.0,0.0,5.0,3.0,29.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0
11063,3.0,1.0,3.0,2.0,5.0,4.0,21.0,2.0,2.0,2.0,3.0,0.0,-1.0,4.0
11064,5.0,5.0,0.0,4.0,5.0,2.0,22.0,5.0,0.0,-2.0,-3.0,7.0,3.0,-1.0
11068,0.0,0.0,4.0,0.0,4.0,4.0,43.0,0.0,4.0,4.0,4.0,-4.0,0.0,4.0
11071,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11072,0.0,0.0,0.0,0.0,5.0,0.0,25.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0
