sub,trial,partner,trait,ran,order,response
120,1,3,0,1,0,4
120,2,2,0,1,1,3
120,3,1,0,1,2,1
120,4,3,1,1,3,-5
120,5,2,1,1,4,-3
120,6,1,1,1,5,-1
121,1,3,0,1,0,1
121,2,2,0,1,1,0
121,3,1,0,1,2,0
121,4,3,1,1,3,-2
121,5,2,1,1,4,-1
121,6,1,1,1,5,-2
122,1,3,0,1,0,4
122,2,2,0,1,1,2
122,3,1,0,1,2,0
122,4,3,1,1,3,-3
122,5,2,1,1,4,-2
122,6,1,1,1,5,-1
124,1,3,0,1,0,5
124,2,2,0,1,1,3
124,3,1,0,1,2,0
124,4,3,1,1,3,-5
124,5,2,1,1,4,-4
124,6,1,1,1,5,0
125,1,3,0,1,0,5
125,2,2,0,1,1,3
125,3,1,0,1,2,3
125,4,3,1,1,3,4
125,5,2,1,1,4,1
125,6,1,1,1,5,1
126,1,3,0,1,0,0
126,2,2,0,1,1,0
126,3,1,0,1,2,0
126,4,3,1,1,3,0
126,5,2,1,1,4,0
126,6,1,1,1,5,0
127,1,3,0,1,0,3
127,2,2,0,1,1,3
127,3,1,0,1,2,0
127,4,3,1,1,3,3
127,5,2,1,1,4,4
127,6,1,1,1,5,5
128,1,3,0,1,0,5
128,2,2,0,1,1,4
128,3,1,0,1,2,4
128,4,3,1,1,3,3
128,5,2,1,1,4,4
128,6,1,1,1,5,2
129,1,3,0,1,0,5
129,2,2,0,1,1,5
129,3,1,0,1,2,0
129,4,3,1,1,3,0
129,5,2,1,1,4,0
129,6,1,1,1,5,0
136,1,3,0,1,0,5
136,2,2,0,1,1,4
136,3,1,0,1,2,3
136,4,3,1,1,3,-1
136,5,2,1,1,4,-1
136,6,1,1,1,5,-1
137,1,3,0,1,0,5
137,2,2,0,1,1,4
137,3,1,0,1,2,1
137,4,3,1,1,3,-4
137,5,2,1,1,4,-2
137,6,1,1,1,5,0
138,1,3,0,1,0,5
138,2,2,0,1,1,5
138,3,1,0,1,2,0
138,4,3,1,1,3,-5
138,5,2,1,1,4,-5
138,6,1,1,1,5,0
140,1,3,0,1,0,5
140,2,2,0,1,1,5
140,3,1,0,1,2,5
140,4,3,1,1,3,5
140,5,2,1,1,4,5
140,6,1,1,1,5,5
141,1,3,0,1,0,5
141,2,2,0,1,1,5
141,3,1,0,1,2,5
141,4,3,1,1,3,0
141,5,2,1,1,4,0
141,6,1,1,1,5,0
142,1,3,0,1,0,5
142,2,2,0,1,1,4
142,3,1,0,1,2,4
142,4,3,1,1,3,0
142,5,2,1,1,4,3
142,6,1,1,1,5,3
144,1,3,0,1,0,5
144,2,2,0,1,1,5
144,3,1,0,1,2,0
144,4,3,1,1,3,0
144,5,2,1,1,4,-2
144,6,1,1,1,5,0
144,1,3,0,1,0,3
144,2,2,0,1,1,1
144,3,1,0,1,2,3
144,4,3,1,1,3,0
144,5,2,1,1,4,-1
144,6,1,1,1,5,-2
145,1,3,0,1,0,4
145,2,2,0,1,1,4
145,3,1,0,1,2,0
145,4,3,1,1,3,-3
145,5,2,1,1,4,-3
145,6,1,1,1,5,0
147,1,3,0,1,0,4
147,2,2,0,1,1,4
147,3,1,0,1,2,2
147,4,3,1,1,3,0
147,5,2,1,1,4,-1
147,6,1,1,1,5,-1
149,1,3,0,1,0,0
149,2,2,0,1,1,1
149,3,1,0,1,2,0
149,4,3,1,1,3,0
149,5,2,1,1,4,0
149,6,1,1,1,5,0
150,1,3,0,1,0,2
150,2,2,0,1,1,0
150,3,1,0,1,2,0
150,4,3,1,1,3,-2
150,5,2,1,1,4,0
150,6,1,1,1,5,0
151,1,3,0,1,0,1
151,2,2,0,1,1,0
151,3,1,0,1,2,2
151,4,3,1,1,3,0
151,5,2,1,1,4,-3
151,6,1,1,1,5,0
152,1,3,0,1,0,4
152,2,2,0,1,1,2
152,3,1,0,1,2,0
152,4,3,1,1,3,4
152,5,2,1,1,4,4
152,6,1,1,1,5,-4
153,1,3,0,1,0,3
153,2,2,0,1,1,0
153,3,1,0,1,2,1
153,4,3,1,1,3,-2
153,5,2,1,1,4,-3
153,6,1,1,1,5,-1
154,1,3,0,1,0,5
154,2,2,0,1,1,4
154,3,1,0,1,2,0
154,4,3,1,1,3,0
154,5,2,1,1,4,0
154,6,1,1,1,5,0
155,1,3,0,1,0,0
155,2,2,0,1,1,0
155,3,1,0,1,2,0
155,4,3,1,1,3,-1
155,5,2,1,1,4,0
155,6,1,1,1,5,0
156,1,3,0,1,0,5
156,2,2,0,1,1,5
156,3,1,0,1,2,5
156,4,3,1,1,3,-5
156,5,2,1,1,4,-5
156,6,1,1,1,5,-5
157,1,3,0,1,0,3
157,2,2,0,1,1,3
157,3,1,0,1,2,3
157,4,3,1,1,3,-4
157,5,2,1,1,4,-4
157,6,1,1,1,5,-2
158,1,3,0,1,0,4
158,2,2,0,1,1,2
158,3,1,0,1,2,1
158,4,3,1,1,3,-3
158,5,2,1,1,4,0
158,6,1,1,1,5,0
159,1,3,0,1,0,4
159,2,2,0,1,1,3
159,3,1,0,1,2,3
159,4,3,1,1,3,-5
159,5,2,1,1,4,-3
159,6,1,1,1,5,-3
10296,1,3,0,1,0,0
10296,2,2,0,1,1,0
10296,3,1,0,1,2,1
10296,4,3,1,1,3,-1
10296,5,2,1,1,4,-2
10296,6,1,1,1,5,1
10317,1,3,0,1,0,5
10317,2,2,0,1,1,4
10317,3,1,0,1,2,0
10317,4,3,1,1,3,-2
10317,5,2,1,1,4,-1
10317,6,1,1,1,5,0
10319,1,3,0,1,0,5
10319,2,2,0,1,1,0
10319,3,1,0,1,2,0
10319,4,3,1,1,3,0
10319,5,2,1,1,4,-3
10319,6,1,1,1,5,-4
10369,1,3,0,1,0,2
10369,2,2,0,1,1,2
10369,3,1,0,1,2,2
10369,4,3,1,1,3,-5
10369,5,2,1,1,4,-2
10369,6,1,1,1,5,-2
10369,1,3,0,1,0,5
10369,2,2,0,1,1,4
10369,3,1,0,1,2,4
10369,4,3,1,1,3,-5
10369,5,2,1,1,4,-2
10369,6,1,1,1,5,-2
10402,1,3,0,1,0,5
10402,2,2,0,1,1,5
10402,3,1,0,1,2,3
10402,4,3,1,1,3,-5
10402,5,2,1,1,4,-5
10402,6,1,1,1,5,-5
10462,1,3,0,1,0,5
10462,2,2,0,1,1,5
10462,3,1,0,1,2,0
10462,4,3,1,1,3,0
10462,5,2,1,1,4,0
10462,6,1,1,1,5,-5
10486,1,3,0,1,0,5
10486,2,2,0,1,1,5
10486,3,1,0,1,2,4
10486,4,3,1,1,3,-5
10486,5,2,1,1,4,-2
10486,6,1,1,1,5,-2
10529,1,3,0,1,0,5
10529,2,2,0,1,1,5
10529,3,1,0,1,2,5
10529,4,3,1,1,3,-5
10529,5,2,1,1,4,-4
10529,6,1,1,1,5,-3
10541,1,3,0,1,0,5
10541,2,2,0,1,1,4
10541,3,1,0,1,2,5
10541,4,3,1,1,3,-2
10541,5,2,1,1,4,0
10541,6,1,1,1,5,0
10555,1,3,0,1,0,5
10555,2,2,0,1,1,3
10555,3,1,0,1,2,4
10555,4,3,1,1,3,-3
10555,5,2,1,1,4,-2
10555,6,1,1,1,5,-3
10559,1,3,0,1,0,3
10559,2,2,0,1,1,3
10559,3,1,0,1,2,0
10559,4,3,1,1,3,-4
10559,5,2,1,1,4,0
10559,6,1,1,1,5,0
10572,1,3,0,1,0,5
10572,2,2,0,1,1,5
10572,3,1,0,1,2,3
10572,4,3,1,1,3,-2
10572,5,2,1,1,4,-2
10572,6,1,1,1,5,0
10584,1,3,0,1,0,5
10584,2,2,0,1,1,5
10584,3,1,0,1,2,5
10584,4,3,1,1,3,-5
10584,5,2,1,1,4,-5
10584,6,1,1,1,5,-5
10585,1,3,0,1,0,5
10585,2,2,0,1,1,5
10585,3,1,0,1,2,3
10585,4,3,1,1,3,-3
10585,5,2,1,1,4,-3
10585,6,1,1,1,5,-2
10589,1,3,0,1,0,4
10589,2,2,0,1,1,1
10589,3,1,0,1,2,1
10589,4,3,1,1,3,-4
10589,5,2,1,1,4,-3
10589,6,1,1,1,5,-3
10590,1,3,0,1,0,5
10590,2,2,0,1,1,3
10590,3,1,0,1,2,-3
10590,4,3,1,1,3,-4
10590,5,2,1,1,4,-2
10590,6,1,1,1,5,0
10596,1,3,0,1,0,5
10596,2,2,0,1,1,2
10596,3,1,0,1,2,0
10596,4,3,1,1,3,-4
10596,5,2,1,1,4,-2
10596,6,1,1,1,5,0
10603,1,3,0,1,0,5
10603,2,2,0,1,1,5
10603,3,1,0,1,2,0
10603,4,3,1,1,3,-3
10603,5,2,1,1,4,-3
10603,6,1,1,1,5,0
10608,1,3,0,1,0,5
10608,2,2,0,1,1,2
10608,3,1,0,1,2,4
10608,4,3,1,1,3,-5
10608,5,2,1,1,4,0
10608,6,1,1,1,5,0
10617,1,3,0,1,0,5
10617,2,2,0,1,1,5
10617,3,1,0,1,2,0
10617,4,3,1,1,3,-5
10617,5,2,1,1,4,-5
10617,6,1,1,1,5,0
10636,1,3,0,1,0,5
10636,2,2,0,1,1,3
10636,3,1,0,1,2,0
10636,4,3,1,1,3,-5
10636,5,2,1,1,4,-1
10636,6,1,1,1,5,0
10638,1,3,0,1,0,5
10638,2,2,0,1,1,5
10638,3,1,0,1,2,3
10638,4,3,1,1,3,-5
10638,5,2,1,1,4,-3
10638,6,1,1,1,5,-3
10640,1,3,0,1,0,5
10640,2,2,0,1,1,0
10640,3,1,0,1,2,0
10640,4,3,1,1,3,-5
10640,5,2,1,1,4,-5
10640,6,1,1,1,5,-5
10641,1,3,0,1,0,5
10641,2,2,0,1,1,1
10641,3,1,0,1,2,4
10641,4,3,1,1,3,-2
10641,5,2,1,1,4,-5
10641,6,1,1,1,5,-3
10642,1,3,0,1,0,5
10642,2,2,0,1,1,2
10642,3,1,0,1,2,-1
10642,4,3,1,1,3,-5
10642,5,2,1,1,4,0
10642,6,1,1,1,5,0
10644,1,3,0,1,0,5
10644,2,2,0,1,1,0
10644,3,1,0,1,2,0
10644,4,3,1,1,3,-5
10644,5,2,1,1,4,0
10644,6,1,1,1,5,0
10647,1,3,0,1,0,-2
10647,2,2,0,1,1,0
10647,3,1,0,1,2,-2
10647,4,3,1,1,3,-4
10647,5,2,1,1,4,-1
10647,6,1,1,1,5,0
10649,1,3,0,1,0,5
10649,2,2,0,1,1,5
10649,3,1,0,1,2,5
10649,4,3,1,1,3,-4
10649,5,2,1,1,4,-4
10649,6,1,1,1,5,-4
10652,1,3,0,1,0,5
10652,2,2,0,1,1,0
10652,3,1,0,1,2,0
10652,4,3,1,1,3,0
10652,5,2,1,1,4,0
10652,6,1,1,1,5,-2
10656,1,3,0,1,0,2
10656,2,2,0,1,1,1
10656,3,1,0,1,2,4
10656,4,3,1,1,3,-1
10656,5,2,1,1,4,0
10656,6,1,1,1,5,0
10657,1,3,0,1,0,5
10657,2,2,0,1,1,5
10657,3,1,0,1,2,0
10657,4,3,1,1,3,-5
10657,5,2,1,1,4,-3
10657,6,1,1,1,5,0
10659,1,3,0,1,0,5
10659,2,2,0,1,1,5
10659,3,1,0,1,2,5
10659,4,3,1,1,3,-5
10659,5,2,1,1,4,-5
10659,6,1,1,1,5,-5
10661,1,3,0,1,0,5
10661,2,2,0,1,1,5
10661,3,1,0,1,2,5
10661,4,3,1,1,3,-5
10661,5,2,1,1,4,-5
10661,6,1,1,1,5,-5
10663,1,3,0,1,0,4
10663,2,2,0,1,1,3
10663,3,1,0,1,2,2
10663,4,3,1,1,3,-5
10663,5,2,1,1,4,-3
10663,6,1,1,1,5,-3
10668,1,3,0,1,0,5
10668,2,2,0,1,1,5
10668,3,1,0,1,2,5
10668,4,3,1,1,3,-5
10668,5,2,1,1,4,-5
10668,6,1,1,1,5,-5
10673,1,3,0,1,0,3
10673,2,2,0,1,1,1
10673,3,1,0,1,2,0
10673,4,3,1,1,3,-5
10673,5,2,1,1,4,-1
10673,6,1,1,1,5,0
10674,1,3,0,1,0,5
10674,2,2,0,1,1,4
10674,3,1,0,1,2,4
10674,4,3,1,1,3,-1
10674,5,2,1,1,4,-1
10674,6,1,1,1,5,-1
10677,1,3,0,1,0,1
10677,2,2,0,1,1,0
10677,3,1,0,1,2,0
10677,4,3,1,1,3,-1
10677,5,2,1,1,4,0
10677,6,1,1,1,5,0
10685,1,3,0,1,0,5
10685,2,2,0,1,1,0
10685,3,1,0,1,2,0
10685,4,3,1,1,3,0
10685,5,2,1,1,4,0
10685,6,1,1,1,5,0
10690,1,3,0,1,0,5
10690,2,2,0,1,1,5
10690,3,1,0,1,2,5
10690,4,3,1,1,3,-1
10690,5,2,1,1,4,-1
10690,6,1,1,1,5,-1
10691,1,3,0,1,0,5
10691,2,2,0,1,1,3
10691,3,1,0,1,2,4
10691,4,3,1,1,3,-2
10691,5,2,1,1,4,-2
10691,6,1,1,1,5,-4
10701,1,3,0,1,0,5
10701,2,2,0,1,1,4
10701,3,1,0,1,2,3
10701,4,3,1,1,3,-5
10701,5,2,1,1,4,-4
10701,6,1,1,1,5,-1
10713,1,3,0,1,0,0
10713,2,2,0,1,1,0
10713,3,1,0,1,2,5
10713,4,3,1,1,3,-5
10713,5,2,1,1,4,0
10713,6,1,1,1,5,-5
10716,1,3,0,1,0,5
10716,2,2,0,1,1,0
10716,3,1,0,1,2,0
10716,4,3,1,1,3,-5
10716,5,2,1,1,4,0
10716,6,1,1,1,5,0
10718,1,3,0,1,0,3
10718,2,2,0,1,1,0
10718,3,1,0,1,2,0
10718,4,3,1,1,3,0
10718,5,2,1,1,4,3
10718,6,1,1,1,5,-1
10720,1,3,0,1,0,4
10720,2,2,0,1,1,0
10720,3,1,0,1,2,0
10720,4,3,1,1,3,-5
10720,5,2,1,1,4,0
10720,6,1,1,1,5,-1
10723,1,3,0,1,0,3
10723,2,2,0,1,1,4
10723,3,1,0,1,2,4
10723,4,3,1,1,3,-1
10723,5,2,1,1,4,-2
10723,6,1,1,1,5,-2
10741,1,3,0,1,0,5
10741,2,2,0,1,1,3
10741,3,1,0,1,2,3
10741,4,3,1,1,3,-1
10741,5,2,1,1,4,-1
10741,6,1,1,1,5,-1
10748,1,3,0,1,0,5
10748,2,2,0,1,1,5
10748,3,1,0,1,2,5
10748,4,3,1,1,3,-2
10748,5,2,1,1,4,-2
10748,6,1,1,1,5,-2
10767,1,3,0,1,0,3
10767,2,2,0,1,1,2
10767,3,1,0,1,2,-2
10767,4,3,1,1,3,-2
10767,5,2,1,1,4,-2
10767,6,1,1,1,5,-2
10770,1,3,0,1,0,5
10770,2,2,0,1,1,0
10770,3,1,0,1,2,0
10770,4,3,1,1,3,-5
10770,5,2,1,1,4,0
10770,6,1,1,1,5,0
10774,1,3,0,1,0,1
10774,2,2,0,1,1,1
10774,3,1,0,1,2,0
10774,4,3,1,1,3,-1
10774,5,2,1,1,4,0
10774,6,1,1,1,5,0
10777,1,3,0,1,0,5
10777,2,2,0,1,1,3
10777,3,1,0,1,2,3
10777,4,3,1,1,3,-1
10777,5,2,1,1,4,-2
10777,6,1,1,1,5,-3
10781,1,3,0,1,0,5
10781,2,2,0,1,1,3
10781,3,1,0,1,2,0
10781,4,3,1,1,3,0
10781,5,2,1,1,4,0
10781,6,1,1,1,5,0
10783,1,3,0,1,0,5
10783,2,2,0,1,1,5
10783,3,1,0,1,2,5
10783,4,3,1,1,3,-3
10783,5,2,1,1,4,-1
10783,6,1,1,1,5,-2
10785,1,3,0,1,0,5
10785,2,2,0,1,1,3
10785,3,1,0,1,2,3
10785,4,3,1,1,3,-3
10785,5,2,1,1,4,-2
10785,6,1,1,1,5,-2
10794,1,3,0,1,0,3
10794,2,2,0,1,1,0
10794,3,1,0,1,2,0
10794,4,3,1,1,3,-2
10794,5,2,1,1,4,0
10794,6,1,1,1,5,0
10800,1,3,0,1,0,3
10800,2,2,0,1,1,4
10800,3,1,0,1,2,2
10800,4,3,1,1,3,-5
10800,5,2,1,1,4,-2
10800,6,1,1,1,5,-3
10801,1,3,0,1,0,4
10801,2,2,0,1,1,4
10801,3,1,0,1,2,4
10801,4,3,1,1,3,-5
10801,5,2,1,1,4,-3
10801,6,1,1,1,5,-1
10802,1,3,0,1,0,5
10802,2,2,0,1,1,5
10802,3,1,0,1,2,3
10802,4,3,1,1,3,-5
10802,5,2,1,1,4,-2
10802,6,1,1,1,5,-2
10804,1,3,0,1,0,-1
10804,2,2,0,1,1,1
10804,3,1,0,1,2,1
10804,4,3,1,1,3,0
10804,5,2,1,1,4,-2
10804,6,1,1,1,5,-4
10806,1,3,0,1,0,0
10806,2,2,0,1,1,0
10806,3,1,0,1,2,-5
10806,4,3,1,1,3,-3
10806,5,2,1,1,4,0
10806,6,1,1,1,5,-3
10807,1,3,0,1,0,5
10807,2,2,0,1,1,5
10807,3,1,0,1,2,5
10807,4,3,1,1,3,-5
10807,5,2,1,1,4,-5
10807,6,1,1,1,5,-5
10809,1,3,0,1,0,5
10809,2,2,0,1,1,3
10809,3,1,0,1,2,2
10809,4,3,1,1,3,-1
10809,5,2,1,1,4,-1
10809,6,1,1,1,5,0
10812,1,3,0,1,0,5
10812,2,2,0,1,1,5
10812,3,1,0,1,2,5
10812,4,3,1,1,3,-5
10812,5,2,1,1,4,-5
10812,6,1,1,1,5,-5
10831,1,3,0,1,0,5
10831,2,2,0,1,1,0
10831,3,1,0,1,2,0
10831,4,3,1,1,3,-5
10831,5,2,1,1,4,-2
10831,6,1,1,1,5,0
10843,1,3,0,1,0,5
10843,2,2,0,1,1,5
10843,3,1,0,1,2,3
10843,4,3,1,1,3,1
10843,5,2,1,1,4,1
10843,6,1,1,1,5,2
10850,1,3,0,1,0,5
10850,2,2,0,1,1,4
10850,3,1,0,1,2,2
10850,4,3,1,1,3,-5
10850,5,2,1,1,4,-2
10850,6,1,1,1,5,0
10854,1,3,0,1,0,5
10854,2,2,0,1,1,5
10854,3,1,0,1,2,5
10854,4,3,1,1,3,-5
10854,5,2,1,1,4,-5
10854,6,1,1,1,5,-5
10857,1,3,0,1,0,5
10857,2,2,0,1,1,2
10857,3,1,0,1,2,2
10857,4,3,1,1,3,-5
10857,5,2,1,1,4,-3
10857,6,1,1,1,5,-2
10858,1,3,0,1,0,5
10858,2,2,0,1,1,0
10858,3,1,0,1,2,0
10858,4,3,1,1,3,-3
10858,5,2,1,1,4,-1
10858,6,1,1,1,5,0
10860,1,3,0,1,0,0
10860,2,2,0,1,1,0
10860,3,1,0,1,2,0
10860,4,3,1,1,3,0
10860,5,2,1,1,4,0
10860,6,1,1,1,5,0
10862,1,3,0,1,0,5
10862,2,2,0,1,1,5
10862,3,1,0,1,2,3
10862,4,3,1,1,3,-5
10862,5,2,1,1,4,-2
10862,6,1,1,1,5,-3
10863,1,3,0,1,0,5
10863,2,2,0,1,1,5
10863,3,1,0,1,2,5
10863,4,3,1,1,3,-5
10863,5,2,1,1,4,-5
10863,6,1,1,1,5,-5
10875,1,3,0,1,0,5
10875,2,2,0,1,1,0
10875,3,1,0,1,2,0
10875,4,3,1,1,3,-2
10875,5,2,1,1,4,0
10875,6,1,1,1,5,0
10881,1,3,0,1,0,5
10881,2,2,0,1,1,5
10881,3,1,0,1,2,5
10881,4,3,1,1,3,0
10881,5,2,1,1,4,0
10881,6,1,1,1,5,0
10886,1,3,0,1,0,3
10886,2,2,0,1,1,0
10886,3,1,0,1,2,0
10886,4,3,1,1,3,-3
10886,5,2,1,1,4,0
10886,6,1,1,1,5,0
10887,1,3,0,1,0,5
10887,2,2,0,1,1,5
10887,3,1,0,1,2,5
10887,4,3,1,1,3,-1
10887,5,2,1,1,4,-1
10887,6,1,1,1,5,-1
10896,1,3,0,1,0,5
10896,2,2,0,1,1,5
10896,3,1,0,1,2,5
10896,4,3,1,1,3,-3
10896,5,2,1,1,4,-3
10896,6,1,1,1,5,-5
10897,1,3,0,1,0,5
10897,2,2,0,1,1,2
10897,3,1,0,1,2,-1
10897,4,3,1,1,3,-3
10897,5,2,1,1,4,-1
10897,6,1,1,1,5,0
10898,1,3,0,1,0,5
10898,2,2,0,1,1,3
10898,3,1,0,1,2,0
10898,4,3,1,1,3,-5
10898,5,2,1,1,4,-2
10898,6,1,1,1,5,0
10908,1,3,0,1,0,5
10908,2,2,0,1,1,2
10908,3,1,0,1,2,2
10908,4,3,1,1,3,5
10908,5,2,1,1,4,1
10908,6,1,1,1,5,1
10913,1,3,0,1,0,5
10913,2,2,0,1,1,5
10913,3,1,0,1,2,5
10913,4,3,1,1,3,5
10913,5,2,1,1,4,5
10913,6,1,1,1,5,5
10918,1,3,0,1,0,3
10918,2,2,0,1,1,0
10918,3,1,0,1,2,0
10918,4,3,1,1,3,-2
10918,5,2,1,1,4,0
10918,6,1,1,1,5,0
10919,1,3,0,1,0,5
10919,2,2,0,1,1,3
10919,3,1,0,1,2,2
10919,4,3,1,1,3,-3
10919,5,2,1,1,4,-2
10919,6,1,1,1,5,-1
10924,1,3,0,1,0,5
10924,2,2,0,1,1,1
10924,3,1,0,1,2,-1
10924,4,3,1,1,3,3
10924,5,2,1,1,4,-1
10924,6,1,1,1,5,-2
10926,1,3,0,1,0,3
10926,2,2,0,1,1,-1
10926,3,1,0,1,2,-2
10926,4,3,1,1,3,-2
10926,5,2,1,1,4,0
10926,6,1,1,1,5,-2
10928,1,3,0,1,0,5
10928,2,2,0,1,1,3
10928,3,1,0,1,2,1
10928,4,3,1,1,3,0
10928,5,2,1,1,4,0
10928,6,1,1,1,5,0
10929,1,3,0,1,0,5
10929,2,2,0,1,1,5
10929,3,1,0,1,2,5
10929,4,3,1,1,3,-5
10929,5,2,1,1,4,-3
10929,6,1,1,1,5,0
10930,1,3,0,1,0,5
10930,2,2,0,1,1,5
10930,3,1,0,1,2,5
10930,4,3,1,1,3,-5
10930,5,2,1,1,4,-3
10930,6,1,1,1,5,-1
10938,1,3,0,1,0,5
10938,2,2,0,1,1,5
10938,3,1,0,1,2,5
10938,4,3,1,1,3,5
10938,5,2,1,1,4,5
10938,6,1,1,1,5,5
10940,1,3,0,1,0,-2
10940,2,2,0,1,1,0
10940,3,1,0,1,2,2
10940,4,3,1,1,3,3
10940,5,2,1,1,4,0
10940,6,1,1,1,5,2
10950,1,3,0,1,0,2
10950,2,2,0,1,1,0
10950,3,1,0,1,2,0
10950,4,3,1,1,3,-3
10950,5,2,1,1,4,0
10950,6,1,1,1,5,0
10951,1,3,0,1,0,5
10951,2,2,0,1,1,2
10951,3,1,0,1,2,1
10951,4,3,1,1,3,-5
10951,5,2,1,1,4,-1
10951,6,1,1,1,5,-1
10952,1,3,0,1,0,5
10952,2,2,0,1,1,5
10952,3,1,0,1,2,0
10952,4,3,1,1,3,0
10952,5,2,1,1,4,0
10952,6,1,1,1,5,0
10953,1,3,0,1,0,5
10953,2,2,0,1,1,5
10953,3,1,0,1,2,5
10953,4,3,1,1,3,0
10953,5,2,1,1,4,0
10953,6,1,1,1,5,0
10954,1,3,0,1,0,0
10954,2,2,0,1,1,5
10954,3,1,0,1,2,4
10954,4,3,1,1,3,4
10954,5,2,1,1,4,-1
10954,6,1,1,1,5,0
10956,1,3,0,1,0,5
10956,2,2,0,1,1,5
10956,3,1,0,1,2,0
10956,4,3,1,1,3,-5
10956,5,2,1,1,4,-5
10956,6,1,1,1,5,-5
10958,1,3,0,1,0,5
10958,2,2,0,1,1,2
10958,3,1,0,1,2,-2
10958,4,3,1,1,3,0
10958,5,2,1,1,4,-1
10958,6,1,1,1,5,2
10961,1,3,0,1,0,4
10961,2,2,0,1,1,5
10961,3,1,0,1,2,5
10961,4,3,1,1,3,-5
10961,5,2,1,1,4,-3
10961,6,1,1,1,5,-1
10964,1,3,0,1,0,0
10964,2,2,0,1,1,2
10964,3,1,0,1,2,4
10964,4,3,1,1,3,-3
10964,5,2,1,1,4,-3
10964,6,1,1,1,5,-3
10966,1,3,0,1,0,4
10966,2,2,0,1,1,2
10966,3,1,0,1,2,0
10966,4,3,1,1,3,-4
10966,5,2,1,1,4,0
10966,6,1,1,1,5,0
10969,1,3,0,1,0,5
10969,2,2,0,1,1,0
10969,3,1,0,1,2,0
10969,4,3,1,1,3,-5
10969,5,2,1,1,4,0
10969,6,1,1,1,5,0
10974,1,3,0,1,0,-3
10974,2,2,0,1,1,0
10974,3,1,0,1,2,0
10974,4,3,1,1,3,0
10974,5,2,1,1,4,0
10974,6,1,1,1,5,0
10974,1,3,0,1,0,5
10974,2,2,0,1,1,3
10974,3,1,0,1,2,2
10974,4,3,1,1,3,-4
10974,5,2,1,1,4,-1
10974,6,1,1,1,5,0
10979,1,3,0,1,0,4
10979,2,2,0,1,1,1
10979,3,1,0,1,2,2
10979,4,3,1,1,3,-5
10979,5,2,1,1,4,0
10979,6,1,1,1,5,-1
10983,1,3,0,1,0,5
10983,2,2,0,1,1,2
10983,3,1,0,1,2,0
10983,4,3,1,1,3,0
10983,5,2,1,1,4,-1
10983,6,1,1,1,5,-5
10984,1,3,0,1,0,0
10984,2,2,0,1,1,5
10984,3,1,0,1,2,5
10984,4,3,1,1,3,5
10984,5,2,1,1,4,-5
10984,6,1,1,1,5,-5
10998,1,3,0,1,0,5
10998,2,2,0,1,1,0
10998,3,1,0,1,2,-2
10998,4,3,1,1,3,-3
10998,5,2,1,1,4,0
10998,6,1,1,1,5,-2
11005,1,3,0,1,0,-1
11005,2,2,0,1,1,0
11005,3,1,0,1,2,0
11005,4,3,1,1,3,0
11005,5,2,1,1,4,0
11005,6,1,1,1,5,0
11005,1,3,0,1,0,5
11005,2,2,0,1,1,5
11005,3,1,0,1,2,4
11005,4,3,1,1,3,-5
