Subject,Run,Study,MaskVoxels,StandardVoxels,CoveragePercent
sub-10720,2,RF1,265184,292019,90.8100
sub-10723,1,RF1,270486,292019,92.6200
sub-10723,2,RF1,270016,292019,92.4600
sub-10741,1,RF1,259845,292019,88.9800
sub-10741,2,RF1,259715,292019,88.9300
sub-10748,1,RF1,267712,292019,91.6700
sub-10748,2,RF1,267587,292019,91.6300
sub-10767,1,RF1,267107,292019,91.4600
sub-10767,2,RF1,266973,292019,91.4200
sub-10770,1,RF1,262700,292019,89.9500
sub-10770,2,RF1,264838,292019,90.6900
sub-10777,1,RF1,267362,292019,91.5500
sub-10777,2,RF1,266218,292019,91.1600
sub-10781,1,RF1,274350,292019,93.9400
sub-10781,2,RF1,273974,292019,93.8200
sub-10783,1,RF1,261697,292019,89.6100
sub-10783,2,RF1,260428,292019,89.1800
sub-10785,1,RF1,266935,292019,91.4100
sub-10785,2,RF1,267065,292019,91.4500
sub-10794,1,RF1,262314,292019,89.8200
sub-10794,2,RF1,264113,292019,90.4400
sub-107,01,SRNDNA,263344,292019,90.1800
sub-107,02,SRNDNA,262941,292019,90.0400
sub-10800,1,RF1,269316,292019,92.2200
sub-10800,2,RF1,269126,292019,92.1600
sub-10801,1,RF1,265846,292019,91.0300
sub-10801,2,RF1,265898,292019,91.0500
sub-10802,1,RF1,272675,292019,93.3700
sub-10802,2,RF1,272741,292019,93.3900
sub-10803,1,RF1,264550,292019,90.5900
sub-10804,1,RF1,268250,292019,91.8600
sub-10804,2,RF1,268149,292019,91.8200
sub-10806,1,RF1,269826,292019,92.4000
sub-10806,2,RF1,270067,292019,92.4800
sub-10807,1,RF1,260640,292019,89.2500
sub-10807,2,RF1,258791,292019,88.6200
sub-10809,1,RF1,267687,292019,91.6600
sub-10809,2,RF1,268671,292019,92.0000
sub-10810,1,RF1,272847,292019,93.4300
sub-10810,2,RF1,272517,292019,93.3200
sub-10812,1,RF1,267345,292019,91.5500
sub-10812,2,RF1,268034,292019,91.7800
sub-10817,1,RF1,260847,292019,89.3200
sub-10817,2,RF1,261182,292019,89.4400
sub-10827,1,RF1,261383,292019,89.5000
sub-10827,2,RF1,261948,292019,89.7000
sub-10831,1,RF1,270298,292019,92.5600
sub-10831,2,RF1,268510,292019,91.9400
sub-10834,1,RF1,275486,292019,94.3300
sub-10834,2,RF1,275332,292019,94.2800
sub-10838,1,RF1,262521,292019,89.8900
sub-10838,2,RF1,260593,292019,89.2300
sub-10843,1,RF1,261540,292019,89.5600
sub-10843,2,RF1,260013,292019,89.0300
sub-10850,1,RF1,270747,292019,92.7100
sub-10850,2,RF1,269807,292019,92.3900
sub-10854,1,RF1,264869,292019,90.7000
sub-10854,2,RF1,263478,292019,90.2200
sub-10857,1,RF1,266742,292019,91.3400
sub-10857,2,RF1,266791,292019,91.3600
sub-10858,1,RF1,268955,292019,92.1000
sub-10858,2,RF1,267473,292019,91.5900
sub-10860,1,RF1,268074,292019,91.8000
sub-10860,2,RF1,266254,292019,91.1700
sub-10862,1,RF1,275545,292019,94.3500
sub-10862,2,RF1,274033,292019,93.8400
sub-10863,1,RF1,265102,292019,90.7800
sub-10863,2,RF1,265819,292019,91.0200
sub-10866,1,RF1,267739,292019,91.6800
sub-10866,2,RF1,267277,292019,91.5200
sub-10875,1,RF1,271807,292019,93.0700
sub-10875,2,RF1,271442,292019,92.9500
sub-10881,1,RF1,267460,292019,91.5800
sub-10886,1,RF1,267652,292019,91.6500
sub-10887,1,RF1,265609,292019,90.9500
sub-10887,2,RF1,265407,292019,90.8800
sub-10896,1,RF1,267294,292019,91.5300
sub-10896,2,RF1,267478,292019,91.5900
sub-10897,1,RF1,270524,292019,92.6300
sub-10898,1,RF1,268055,292019,91.7900
sub-10898,2,RF1,267243,292019,91.5100
sub-108,01,SRNDNA,261877,292019,89.6700
sub-108,02,SRNDNA,261363,292019,89.5000
sub-10908,1,RF1,264910,292019,90.7100
sub-10908,2,RF1,265717,292019,90.9900
sub-10913,1,RF1,274746,292019,94.0800
sub-10913,2,RF1,273958,292019,93.8100
sub-10918,1,RF1,272172,292019,93.2000
sub-10918,2,RF1,271289,292019,92.9000
sub-10919,1,RF1,264229,292019,90.4800
sub-10919,2,RF1,264085,292019,90.4300
sub-10924,1,RF1,270449,292019,92.6100
sub-10924,2,RF1,270668,292019,92.6800
sub-10926,1,RF1,264001,292019,90.4000
sub-10926,2,RF1,264191,292019,90.4700
sub-10928,1,RF1,275256,292019,94.2500
sub-10928,2,RF1,275493,292019,94.3400
sub-10929,1,RF1,274238,292019,93.9100
sub-10929,2,RF1,274999,292019,94.1700
sub-10930,1,RF1,262829,292019,90.0000
sub-10930,2,RF1,263087,292019,90.0900
sub-10938,1,RF1,267617,292019,91.6400
sub-10938,2,RF1,267036,292019,91.4400
sub-10940,1,RF1,267909,292019,91.7400
sub-10940,2,RF1,268517,292019,91.9500
sub-10950,1,RF1,262360,292019,89.8400
sub-10950,2,RF1,261415,292019,89.5100
sub-10951,1,RF1,265026,292019,90.7500
sub-10951,2,RF1,263893,292019,90.3600
sub-10952,1,RF1,262460,292019,89.8700
sub-10952,2,RF1,261721,292019,89.6200
sub-10953,1,RF1,264578,292019,90.6000
sub-10953,2,RF1,263657,292019,90.2800
sub-10954,1,RF1,263614,292019,90.2700
sub-10954,2,RF1,264154,292019,90.4500
sub-10956,1,RF1,265736,292019,90.9900
sub-10956,2,RF1,266110,292019,91.1200
sub-10958,1,RF1,265818,292019,91.0200
sub-10958,2,RF1,266151,292019,91.1400
sub-10961,1,RF1,269602,292019,92.3200
sub-10961,2,RF1,269728,292019,92.3600
sub-10964,1,RF1,272399,292019,93.2800
sub-10964,2,RF1,269901,292019,92.4200
sub-10966,1,RF1,264370,292019,90.5300
sub-10966,2,RF1,263271,292019,90.1500
sub-10969,1,RF1,273985,292019,93.8200
sub-10969,2,RF1,272459,292019,93.3000
sub-10974,1,RF1,263883,292019,90.3600
sub-10974,2,RF1,265614,292019,90.9500
sub-10977,1,RF1,265364,292019,90.8700
sub-10977,2,RF1,265967,292019,91.0700
sub-10979,1,RF1,266631,292019,91.3000
sub-10979,2,RF1,266533,292019,91.2700
sub-10983,1,RF1,262416,292019,89.8600
sub-10983,2,RF1,261797,292019,89.6500
sub-10984,1,RF1,269591,292019,92.3100
sub-10984,2,RF1,269243,292019,92.2000
sub-10998,1,RF1,272787,292019,93.4100
sub-10998,2,RF1,272000,292019,93.1400
sub-109,01,SRNDNA,258862,292019,88.6400
sub-109,02,SRNDNA,258864,292019,88.6400
sub-11005,1,RF1,263258,292019,90.1500
sub-11005,2,RF1,260277,292019,89.1300
sub-11007,1,RF1,269640,292019,92.3300
sub-11007,2,RF1,267594,292019,91.6300
sub-11012,1,RF1,278781,292019,95.4600
sub-11012,2,RF1,280251,292019,95.9700
sub-11016,1,RF1,267762,292019,91.6900
sub-11016,2,RF1,266778,292019,91.3500
sub-11021,1,RF1,267935,292019,91.7500
sub-11021,2,RF1,268036,292019,91.7800
sub-11030,1,RF1,264994,292019,90.7400
sub-11030,2,RF1,263233,292019,90.1400
sub-11031,1,RF1,271150,292019,92.8500
sub-11031,2,RF1,270822,292019,92.7400
sub-11036,1,RF1,264692,292019,90.6400
sub-11036,2,RF1,264953,292019,90.7300
sub-11039,1,RF1,267051,292019,91.4400
sub-11039,2,RF1,265941,292019,91.0600
sub-11042,1,RF1,272055,292019,93.1600
sub-11042,2,RF1,270367,292019,92.5800
sub-11053,1,RF1,278775,292019,95.4600
sub-11053,2,RF1,277608,292019,95.0600
sub-11058,1,RF1,277634,292019,95.0700
sub-11058,2,RF1,276863,292019,94.8000
sub-11060,1,RF1,270264,292019,92.5500
sub-11060,2,RF1,270226,292019,92.5300
sub-11063,1,RF1,268288,292019,91.8700
sub-11063,2,RF1,267416,292019,91.5700
sub-11064,1,RF1,261354,292019,89.4900
sub-11064,2,RF1,261653,292019,89.6000
sub-11065,1,RF1,270258,292019,92.5400
sub-11065,2,RF1,270332,292019,92.5700
sub-11066,1,RF1,269140,292019,92.1600
sub-11066,2,RF1,270337,292019,92.5700
sub-11068,1,RF1,270164,292019,92.5100
sub-11068,2,RF1,270261,292019,92.5400
sub-11071,1,RF1,271677,292019,93.0300
sub-11071,2,RF1,270215,292019,92.5300
sub-11072,1,RF1,262927,292019,90.0300
sub-11072,2,RF1,263821,292019,90.3400
sub-11074,1,RF1,268983,292019,92.1100
sub-11074,2,RF1,267920,292019,91.7400
sub-11075,1,RF1,259901,292019,89.0000
sub-11075,2,RF1,259958,292019,89.0200
sub-11076,1,RF1,261193,292019,89.4400
sub-11078,1,RF1,271229,292019,92.8800
sub-11078,2,RF1,270931,292019,92.7700
sub-11083,1,RF1,266875,292019,91.3800
sub-11083,2,RF1,267507,292019,91.6000
sub-11084,1,RF1,268069,292019,91.7900
sub-11084,2,RF1,268383,292019,91.9000
sub-11085,1,RF1,267935,292019,91.7500
sub-11085,2,RF1,268895,292019,92.0800
sub-11090,1,RF1,274681,292019,94.0600
sub-11090,2,RF1,274867,292019,94.1200
sub-110,01,SRNDNA,259386,292019,88.8200
sub-110,02,SRNDNA,257981,292019,88.3400
sub-11110,1,RF1,263312,292019,90.1600
sub-11110,2,RF1,261714,292019,89.6200
sub-11113,1,RF1,263626,292019,90.2700
sub-11113,2,RF1,263822,292019,90.3400
sub-11116,1,RF1,269295,292019,92.2100
sub-11116,2,RF1,267162,292019,91.4800
sub-11120,1,RF1,267820,292019,91.7100
sub-11120,2,RF1,264987,292019,90.7400
sub-11125,1,RF1,266870,292019,91.3800
sub-11125,2,RF1,266273,292019,91.1800
sub-11126,1,RF1,276562,292019,94.7000
sub-11128,1,RF1,266984,292019,91.4200
sub-11128,2,RF1,267364,292019,91.5500
sub-11134,1,RF1,268903,292019,92.0800
sub-11134,2,RF1,269366,292019,92.2400
sub-11139,1,RF1,268448,292019,91.9200
sub-11139,2,RF1,267911,292019,91.7400
sub-11145,1,RF1,274275,292019,93.9200
sub-11145,2,RF1,275458,292019,94.3200
sub-11164,1,RF1,271490,292019,92.9600
sub-11167,1,RF1,276570,292019,94.7000
sub-11167,2,RF1,274138,292019,93.8700
sub-11168,1,RF1,276666,292019,94.7400
sub-11168,2,RF1,276847,292019,94.8000
sub-11171,1,RF1,264060,292019,90.4200
sub-11171,2,RF1,264911,292019,90.7100
sub-11177,1,RF1,267851,292019,91.7200
sub-11177,2,RF1,267708,292019,91.6700
sub-11192,1,RF1,269423,292019,92.2600
sub-11192,2,RF1,268751,292019,92.0300
sub-11193,1,RF1,266065,292019,91.1100
sub-11193,2,RF1,265900,292019,91.0500
sub-111,01,SRNDNA,254996,292019,87.3200
sub-111,02,SRNDNA,253637,292019,86.8500
sub-11201,1,RF1,266186,292019,91.1500
sub-11203,1,RF1,260682,292019,89.2600
sub-11203,2,RF1,259890,292019,88.9900
sub-11209,1,RF1,265205,292019,90.8100
sub-11209,2,RF1,264012,292019,90.4000
sub-11227,1,RF1,266469,292019,91.2500
sub-11227,2,RF1,267134,292019,91.4700
sub-11238,1,RF1,272227,292019,93.2200
sub-11238,2,RF1,271420,292019,92.9400
sub-11241,1,RF1,272708,292019,93.3800
sub-11241,2,RF1,272521,292019,93.3200
sub-11246,1,RF1,271175,292019,92.8600
sub-11246,2,RF1,269392,292019,92.2500
sub-11276,1,RF1,277060,292019,94.8700
sub-11276,2,RF1,274731,292019,94.0700
sub-11286,1,RF1,269012,292019,92.1200
sub-112,01,SRNDNA,256556,292019,87.8500
sub-112,02,SRNDNA,256023,292019,87.6700
sub-11301,1,RF1,267780,292019,91.6900
sub-11301,2,RF1,267911,292019,91.7400
sub-11311,1,RF1,265690,292019,90.9800
sub-11311,2,RF1,265922,292019,91.0600
sub-11312,1,RF1,262977,292019,90.0500
sub-11312,2,RF1,261799,292019,89.6500
sub-11316,1,RF1,267781,292019,91.6900
sub-11316,2,RF1,265729,292019,90.9900
sub-11318,1,RF1,266507,292019,91.2600
sub-11318,2,RF1,266611,292019,91.2900
sub-11321,1,RF1,267007,292019,91.4300
sub-11321,2,RF1,267994,292019,91.7700
sub-11325,1,RF1,264799,292019,90.6700
sub-11325,2,RF1,264536,292019,90.5800
sub-11326,1,RF1,263593,292019,90.2600
sub-11326,2,RF1,263707,292019,90.3000
sub-11329,1,RF1,266654,292019,91.3100
sub-11329,2,RF1,266288,292019,91.1800
sub-11330,1,RF1,268529,292019,91.9500
sub-11330,2,RF1,268034,292019,91.7800
sub-11337,1,RF1,262829,292019,90.0000
sub-11337,2,RF1,262822,292019,90.0000
sub-11338,1,RF1,273422,292019,93.6300
sub-11338,2,RF1,273918,292019,93.8000
sub-11340,1,RF1,270771,292019,92.7200
sub-11340,2,RF1,270981,292019,92.7900
sub-11343,1,RF1,267616,292019,91.6400
sub-11343,2,RF1,266065,292019,91.1100
sub-11345,1,RF1,269138,292019,92.1600
sub-11345,2,RF1,269109,292019,92.1500
sub-11348,1,RF1,269670,292019,92.3400
sub-11348,2,RF1,269728,292019,92.3600
sub-11358,1,RF1,273515,292019,93.6600
sub-11358,2,RF1,272694,292019,93.3800
sub-11364,1,RF1,259763,292019,88.9500
sub-11364,2,RF1,259907,292019,89.0000
sub-11367,1,RF1,271160,292019,92.8500
sub-11367,2,RF1,270699,292019,92.6900
sub-11374,1,RF1,268080,292019,91.8000
sub-11374,2,RF1,267617,292019,91.6400
sub-11376,1,RF1,271481,292019,92.9600
sub-11376,2,RF1,271465,292019,92.9600
sub-11377,1,RF1,273088,292019,93.5100
sub-11377,2,RF1,273765,292019,93.7400
sub-11387,1,RF1,267309,292019,91.5300
sub-11387,2,RF1,268159,292019,91.8200
sub-113,01,SRNDNA,261577,292019,89.5700
sub-113,02,SRNDNA,262899,292019,90.0200
sub-11410,1,RF1,262292,292019,89.8200
sub-11410,2,RF1,260371,292019,89.1600
sub-11416,1,RF1,276484,292019,94.6800
sub-11426,1,RF1,263906,292019,90.3700
sub-11430,1,RF1,262690,292019,89.9500
sub-11432,1,RF1,264187,292019,90.4600
sub-11432,2,RF1,264528,292019,90.5800
sub-11433,1,RF1,267625,292019,91.6400
sub-11433,2,RF1,267535,292019,91.6100
sub-11435,1,RF1,264347,292019,90.5200
sub-11435,2,RF1,264658,292019,90.6300
sub-11439,1,RF1,264728,292019,90.6500
sub-11440,1,RF1,260769,292019,89.2900
sub-11440,2,RF1,263096,292019,90.0900
sub-11443,1,RF1,261491,292019,89.5400
sub-11450,1,RF1,262727,292019,89.9600
sub-11450,2,RF1,264115,292019,90.4400
sub-11451,1,RF1,279408,292019,95.6800
sub-11451,2,RF1,280118,292019,95.9200
sub-11461,1,RF1,275031,292019,94.1800
sub-11461,2,RF1,275963,292019,94.5000
sub-11462,1,RF1,276882,292019,94.8100
sub-11472,1,RF1,263983,292019,90.3900
sub-11472,2,RF1,260371,292019,89.1600
sub-11492,1,RF1,268946,292019,92.0900
sub-11492,2,RF1,268376,292019,91.9000
sub-11493,1,RF1,268079,292019,91.8000
sub-11493,2,RF1,267613,292019,91.6400
sub-11498,1,RF1,266927,292019,91.4000
sub-11517,1,RF1,268561,292019,91.9600
sub-11517,2,RF1,267802,292019,91.7000
sub-11518,1,RF1,261431,292019,89.5200
sub-11518,2,RF1,261647,292019,89.5900
sub-11523,1,RF1,268133,292019,91.8200
sub-11523,2,RF1,268752,292019,92.0300
sub-11526,1,RF1,264512,292019,90.5800
sub-11526,2,RF1,264129,292019,90.4400
sub-11527,1,RF1,269232,292019,92.1900
sub-11527,2,RF1,268663,292019,92.0000
sub-11529,1,RF1,269720,292019,92.3600
sub-11529,2,RF1,270695,292019,92.6900
sub-11530,1,RF1,266957,292019,91.4100
sub-11530,2,RF1,267520,292019,91.6100
sub-11532,1,RF1,267176,292019,91.4900
sub-11532,2,RF1,266871,292019,91.3800
sub-11533,1,RF1,273788,292019,93.7500
sub-11533,2,RF1,273035,292019,93.4900
sub-11534,1,RF1,263486,292019,90.2200
sub-11534,2,RF1,262300,292019,89.8200
sub-11535,1,RF1,268061,292019,91.7900
sub-11535,2,RF1,269381,292019,92.2400
sub-11536,1,RF1,258961,292019,88.6700
sub-11536,2,RF1,259053,292019,88.7100
sub-11539,1,RF1,266649,292019,91.3100
sub-11539,2,RF1,267015,292019,91.4300
sub-11540,1,RF1,273574,292019,93.6800
sub-11540,2,RF1,273135,292019,93.5300
sub-11542,1,RF1,272878,292019,93.4400
sub-11542,2,RF1,272380,292019,93.2700
sub-11545,1,RF1,266397,292019,91.2200
sub-11545,2,RF1,264669,292019,90.6300
sub-11551,1,RF1,273887,292019,93.7900
sub-11551,2,RF1,276680,292019,94.7400
sub-11559,1,RF1,266877,292019,91.3900
sub-11559,2,RF1,267710,292019,91.6700
sub-11560,1,RF1,265124,292019,90.7800
sub-11560,2,RF1,264493,292019,90.5700
sub-11563,1,RF1,273347,292019,93.6000
sub-11563,2,RF1,273083,292019,93.5100
sub-11570,1,RF1,264337,292019,90.5200
sub-11570,2,RF1,261700,292019,89.6100
sub-11572,1,RF1,268260,292019,91.8600
sub-11572,2,RF1,268834,292019,92.0600
sub-11579,1,RF1,278567,292019,95.3900
sub-11579,2,RF1,278977,292019,95.5300
sub-11586,1,RF1,269501,292019,92.2800
sub-11587,1,RF1,266407,292019,91.2200
sub-11587,2,RF1,265948,292019,91.0700
sub-11588,1,RF1,271187,292019,92.8600
sub-11588,2,RF1,269672,292019,92.3400
sub-11591,1,RF1,272578,292019,93.3400
sub-11591,2,RF1,272234,292019,93.2200
sub-11597,1,RF1,264733,292019,90.6500
sub-11597,2,RF1,266444,292019,91.2400
sub-11598,1,RF1,270003,292019,92.4600
sub-11598,2,RF1,268129,292019,91.8100
sub-115,01,SRNDNA,258818,292019,88.6300
sub-115,02,SRNDNA,258581,292019,88.5400
sub-11600,1,RF1,259947,292019,89.0100
sub-11600,2,RF1,256576,292019,87.8600
sub-11606,1,RF1,268998,292019,92.1100
sub-11606,2,RF1,269330,292019,92.2300
sub-11614,1,RF1,263700,292019,90.3000
sub-11614,2,RF1,263429,292019,90.2000
sub-11622,1,RF1,258648,292019,88.5700
sub-11622,2,RF1,258903,292019,88.6500
sub-11623,1,RF1,268542,292019,91.9600
sub-11625,1,RF1,275982,292019,94.5000
sub-11625,2,RF1,276589,292019,94.7100
sub-11626,1,RF1,267168,292019,91.4800
sub-11626,2,RF1,267649,292019,91.6500
sub-11628,1,RF1,267462,292019,91.5900
sub-11628,2,RF1,267822,292019,91.7100
sub-11631,1,RF1,267638,292019,91.6500
sub-11631,2,RF1,267556,292019,91.6200
sub-11651,1,RF1,269114,292019,92.1500
sub-11651,2,RF1,268625,292019,91.9800
sub-11660,1,RF1,280033,292019,95.8900
sub-11660,2,RF1,279430,292019,95.6800
sub-11670,1,RF1,264932,292019,90.7200
sub-11670,2,RF1,265852,292019,91.0300
sub-11679,1,RF1,271678,292019,93.0300
sub-11679,2,RF1,271716,292019,93.0400
sub-11692,1,RF1,276328,292019,94.6200
sub-11692,2,RF1,276456,292019,94.6700
sub-116,01,SRNDNA,252059,292019,86.3100
sub-116,02,SRNDNA,250932,292019,85.9300
sub-11705,1,RF1,268119,292019,91.8100
sub-11705,2,RF1,267790,292019,91.7000
sub-11709,1,RF1,267295,292019,91.5300
sub-11709,2,RF1,266293,292019,91.1900
sub-11710,1,RF1,263015,292019,90.0600
sub-11710,2,RF1,262142,292019,89.7600
sub-11720,1,RF1,268673,292019,92.0000
sub-11720,2,RF1,266617,292019,91.3000
sub-117,01,SRNDNA,254212,292019,87.0500
sub-117,02,SRNDNA,254554,292019,87.1700
sub-118,01,SRNDNA,251326,292019,86.0600
sub-118,02,SRNDNA,246100,292019,84.2700
sub-120,01,SRNDNA,240984,292019,82.5200
sub-120,02,SRNDNA,232793,292019,79.7100
sub-121,01,SRNDNA,259397,292019,88.8200
sub-121,02,SRNDNA,259357,292019,88.8100
sub-122,01,SRNDNA,265889,292019,91.0500
sub-122,02,SRNDNA,265457,292019,90.9000
sub-124,01,SRNDNA,259354,292019,88.8100
sub-124,02,SRNDNA,259274,292019,88.7800
sub-125,01,SRNDNA,265866,292019,91.0400
sub-125,02,SRNDNA,266658,292019,91.3100
sub-126,01,SRNDNA,254772,292019,87.2400
sub-126,02,SRNDNA,255001,292019,87.3200
sub-127,01,SRNDNA,267434,292019,91.5800
sub-127,02,SRNDNA,267550,292019,91.6200
sub-128,01,SRNDNA,268153,292019,91.8200
sub-128,02,SRNDNA,268437,292019,91.9200
sub-129,01,SRNDNA,262589,292019,89.9200
sub-129,02,SRNDNA,262014,292019,89.7200
sub-130,01,SRNDNA,260386,292019,89.1600
sub-130,02,SRNDNA,261274,292019,89.4700
sub-131,01,SRNDNA,261451,292019,89.5300
sub-131,02,SRNDNA,260390,292019,89.1600
sub-132,01,SRNDNA,266515,292019,91.2600
sub-132,02,SRNDNA,264704,292019,90.6400
sub-133,01,SRNDNA,270811,292019,92.7300
sub-133,02,SRNDNA,270415,292019,92.6000
sub-134,01,SRNDNA,254849,292019,87.2700
sub-134,02,SRNDNA,254964,292019,87.3100
sub-135,01,SRNDNA,265326,292019,90.8500
sub-135,02,SRNDNA,264565,292019,90.5900
sub-136,01,SRNDNA,267850,292019,91.7200
sub-136,02,SRNDNA,267005,292019,91.4300
sub-137,01,SRNDNA,265731,292019,90.9900
sub-137,02,SRNDNA,265294,292019,90.8400
sub-138,01,SRNDNA,240223,292019,82.2600
sub-138,02,SRNDNA,242106,292019,82.9000
sub-140,01,SRNDNA,261743,292019,89.6300
sub-140,02,SRNDNA,260779,292019,89.3000
sub-141,01,SRNDNA,267354,292019,91.5500
sub-141,02,SRNDNA,267275,292019,91.5200
sub-142,01,SRNDNA,268370,292019,91.9000
sub-142,02,SRNDNA,268314,292019,91.8800
sub-143,01,SRNDNA,273223,292019,93.5600
sub-143,02,SRNDNA,273221,292019,93.5600
sub-144,01,SRNDNA,268838,292019,92.0600
sub-144,02,SRNDNA,268430,292019,91.9200
sub-145,01,SRNDNA,265903,292019,91.0500
sub-145,02,SRNDNA,242867,292019,83.1600
sub-147,01,SRNDNA,267946,292019,91.7500
sub-147,02,SRNDNA,267527,292019,91.6100
sub-149,01,SRNDNA,270113,292019,92.4900
sub-149,02,SRNDNA,272616,292019,93.3500
sub-150,01,SRNDNA,255801,292019,87.5900
sub-150,02,SRNDNA,254702,292019,87.2200
sub-151,01,SRNDNA,261173,292019,89.4300
sub-151,02,SRNDNA,261406,292019,89.5100
sub-152,01,SRNDNA,269052,292019,92.1300
sub-152,02,SRNDNA,267160,292019,91.4800
sub-153,01,SRNDNA,264638,292019,90.6200
sub-153,02,SRNDNA,264091,292019,90.4300
sub-154,01,SRNDNA,268164,292019,91.8300
sub-154,02,SRNDNA,266063,292019,91.1100
sub-155,01,SRNDNA,266894,292019,91.3900
sub-155,02,SRNDNA,268106,292019,91.8100
sub-156,01,SRNDNA,256085,292019,87.6900
sub-156,02,SRNDNA,254018,292019,86.9800
sub-157,01,SRNDNA,256702,292019,87.9000
sub-157,02,SRNDNA,255280,292019,87.4100
sub-158,01,SRNDNA,259039,292019,88.7000
sub-158,02,SRNDNA,257203,292019,88.0700
sub-159,01,SRNDNA,261002,292019,89.3700
sub-159,02,SRNDNA,261312,292019,89.4800
