sub,trial,partner,trait,ran,order,response,age
145,1,3,0,1,0,4,71.0
145,2,2,0,1,1,4,71.0
145,3,1,0,1,2,0,71.0
145,4,3,1,1,3,-3,71.0
145,5,2,1,1,4,-3,71.0
145,6,1,1,1,5,0,71.0
147,1,3,0,1,0,4,65.0
147,2,2,0,1,1,4,65.0
147,3,1,0,1,2,2,65.0
147,4,3,1,1,3,0,65.0
147,5,2,1,1,4,-1,65.0
147,6,1,1,1,5,-1,65.0
149,1,3,0,1,0,0,66.0
149,2,2,0,1,1,1,66.0
149,3,1,0,1,2,0,66.0
149,4,3,1,1,3,0,66.0
149,5,2,1,1,4,0,66.0
149,6,1,1,1,5,0,66.0
150,1,3,0,1,0,2,23.0
150,2,2,0,1,1,0,23.0
150,3,1,0,1,2,0,23.0
150,4,3,1,1,3,-2,23.0
150,5,2,1,1,4,0,23.0
150,6,1,1,1,5,0,23.0
151,1,3,0,1,0,1,65.0
151,2,2,0,1,1,0,65.0
151,3,1,0,1,2,2,65.0
151,4,3,1,1,3,0,65.0
151,5,2,1,1,4,-3,65.0
151,6,1,1,1,5,0,65.0
152,1,3,0,1,0,4,66.0
152,2,2,0,1,1,2,66.0
152,3,1,0,1,2,0,66.0
152,4,3,1,1,3,4,66.0
152,5,2,1,1,4,4,66.0
152,6,1,1,1,5,-4,66.0
153,1,3,0,1,0,3,29.0
153,2,2,0,1,1,0,29.0
153,3,1,0,1,2,1,29.0
153,4,3,1,1,3,-2,29.0
153,5,2,1,1,4,-3,29.0
153,6,1,1,1,5,-1,29.0
154,1,3,0,1,0,5,67.0
154,2,2,0,1,1,4,67.0
154,3,1,0,1,2,0,67.0
154,4,3,1,1,3,0,67.0
154,5,2,1,1,4,0,67.0
154,6,1,1,1,5,0,67.0
155,1,3,0,1,0,0,30.0
155,2,2,0,1,1,0,30.0
155,3,1,0,1,2,0,30.0
155,4,3,1,1,3,-1,30.0
155,5,2,1,1,4,0,30.0
155,6,1,1,1,5,0,30.0
156,1,3,0,1,0,5,30.0
156,2,2,0,1,1,5,30.0
156,3,1,0,1,2,5,30.0
156,4,3,1,1,3,-5,30.0
156,5,2,1,1,4,-5,30.0
156,6,1,1,1,5,-5,30.0
157,1,3,0,1,0,3,25.0
157,2,2,0,1,1,3,25.0
157,3,1,0,1,2,3,25.0
157,4,3,1,1,3,-4,25.0
157,5,2,1,1,4,-4,25.0
157,6,1,1,1,5,-2,25.0
158,1,3,0,1,0,4,26.0
158,2,2,0,1,1,2,26.0
158,3,1,0,1,2,1,26.0
158,4,3,1,1,3,-3,26.0
158,5,2,1,1,4,0,26.0
158,6,1,1,1,5,0,26.0
159,1,3,0,1,0,4,24.0
159,2,2,0,1,1,3,24.0
159,3,1,0,1,2,3,24.0
159,4,3,1,1,3,-5,24.0
159,5,2,1,1,4,-3,24.0
159,6,1,1,1,5,-3,24.0
10296,1,3,0,1,0,0,
10296,2,2,0,1,1,0,
10296,3,1,0,1,2,1,
10296,4,3,1,1,3,-1,
10296,5,2,1,1,4,-2,
10296,6,1,1,1,5,1,
10317,1,3,0,1,0,5,63.0
10317,2,2,0,1,1,4,63.0
10317,3,1,0,1,2,0,63.0
10317,4,3,1,1,3,-2,63.0
10317,5,2,1,1,4,-1,63.0
10317,6,1,1,1,5,0,63.0
10319,1,3,0,1,0,5,
10319,2,2,0,1,1,0,
10319,3,1,0,1,2,0,
10319,4,3,1,1,3,0,
10319,5,2,1,1,4,-3,
10319,6,1,1,1,5,-4,
10369,1,3,0,1,0,2,32.0
10369,2,2,0,1,1,2,32.0
10369,3,1,0,1,2,2,32.0
10369,4,3,1,1,3,-5,32.0
10369,5,2,1,1,4,-2,32.0
10369,6,1,1,1,5,-2,32.0
10369,1,3,0,1,0,5,32.0
10369,2,2,0,1,1,4,32.0
10369,3,1,0,1,2,4,32.0
10369,4,3,1,1,3,-5,32.0
10369,5,2,1,1,4,-2,32.0
10369,6,1,1,1,5,-2,32.0
10402,1,3,0,1,0,5,36.0
10402,2,2,0,1,1,5,36.0
10402,3,1,0,1,2,3,36.0
10402,4,3,1,1,3,-5,36.0
10402,5,2,1,1,4,-5,36.0
10402,6,1,1,1,5,-5,36.0
10462,1,3,0,1,0,5,62.0
10462,2,2,0,1,1,5,62.0
10462,3,1,0,1,2,0,62.0
10462,4,3,1,1,3,0,62.0
10462,5,2,1,1,4,0,62.0
10462,6,1,1,1,5,-5,62.0
10486,1,3,0,1,0,5,42.0
10486,2,2,0,1,1,5,42.0
10486,3,1,0,1,2,4,42.0
10486,4,3,1,1,3,-5,42.0
10486,5,2,1,1,4,-2,42.0
10486,6,1,1,1,5,-2,42.0
10529,1,3,0,1,0,5,68.0
10529,2,2,0,1,1,5,68.0
10529,3,1,0,1,2,5,68.0
10529,4,3,1,1,3,-5,68.0
10529,5,2,1,1,4,-4,68.0
10529,6,1,1,1,5,-3,68.0
10541,1,3,0,1,0,5,69.0
10541,2,2,0,1,1,4,69.0
10541,3,1,0,1,2,5,69.0
10541,4,3,1,1,3,-2,69.0
10541,5,2,1,1,4,0,69.0
10541,6,1,1,1,5,0,69.0
10555,1,3,0,1,0,5,28.0
10555,2,2,0,1,1,3,28.0
10555,3,1,0,1,2,4,28.0
10555,4,3,1,1,3,-3,28.0
10555,5,2,1,1,4,-2,28.0
10555,6,1,1,1,5,-3,28.0
10559,1,3,0,1,0,3,28.0
10559,2,2,0,1,1,3,28.0
10559,3,1,0,1,2,0,28.0
10559,4,3,1,1,3,-4,28.0
10559,5,2,1,1,4,0,28.0
10559,6,1,1,1,5,0,28.0
10572,1,3,0,1,0,5,70.0
10572,2,2,0,1,1,5,70.0
10572,3,1,0,1,2,3,70.0
10572,4,3,1,1,3,-2,70.0
10572,5,2,1,1,4,-2,70.0
10572,6,1,1,1,5,0,70.0
10584,1,3,0,1,0,5,50.0
10584,2,2,0,1,1,5,50.0
10584,3,1,0,1,2,5,50.0
10584,4,3,1,1,3,-5,50.0
10584,5,2,1,1,4,-5,50.0
10584,6,1,1,1,5,-5,50.0
10585,1,3,0,1,0,5,63.0
10585,2,2,0,1,1,5,63.0
10585,3,1,0,1,2,3,63.0
10585,4,3,1,1,3,-3,63.0
10585,5,2,1,1,4,-3,63.0
10585,6,1,1,1,5,-2,63.0
10589,1,3,0,1,0,4,34.0
10589,2,2,0,1,1,1,34.0
10589,3,1,0,1,2,1,34.0
10589,4,3,1,1,3,-4,34.0
10589,5,2,1,1,4,-3,34.0
10589,6,1,1,1,5,-3,34.0
10590,1,3,0,1,0,5,56.0
10590,2,2,0,1,1,3,56.0
10590,3,1,0,1,2,-3,56.0
10590,4,3,1,1,3,-4,56.0
10590,5,2,1,1,4,-2,56.0
10590,6,1,1,1,5,0,56.0
10596,1,3,0,1,0,5,27.0
10596,2,2,0,1,1,2,27.0
10596,3,1,0,1,2,0,27.0
10596,4,3,1,1,3,-4,27.0
10596,5,2,1,1,4,-2,27.0
10596,6,1,1,1,5,0,27.0
10603,1,3,0,1,0,5,69.0
10603,2,2,0,1,1,5,69.0
10603,3,1,0,1,2,0,69.0
10603,4,3,1,1,3,-3,69.0
10603,5,2,1,1,4,-3,69.0
10603,6,1,1,1,5,0,69.0
10608,1,3,0,1,0,5,29.0
10608,2,2,0,1,1,2,29.0
10608,3,1,0,1,2,4,29.0
10608,4,3,1,1,3,-5,29.0
