sub,task,run,vsmean_stan
142,sharedreward,2,75.201072
143,sharedreward,1,62.709165
143,sharedreward,2,58.686208
144,sharedreward,1,33.648491
144,sharedreward,2,34.242176
145,sharedreward,1,21.394294
145,sharedreward,2,19.904167
147,sharedreward,1,105.793786
147,sharedreward,2,107.772674
149,sharedreward,1,45.409182
149,sharedreward,2,71.070258
150,sharedreward,1,43.191873
150,sharedreward,2,27.136257
151,sharedreward,1,61.435429
151,sharedreward,2,65.076467
152,sharedreward,1,67.376146
152,sharedreward,2,55.911851
153,sharedreward,1,58.062143
153,sharedreward,2,52.723742
154,sharedreward,1,60.262316
154,sharedreward,2,45.768917
155,sharedreward,1,81.824465
155,sharedreward,2,96.257916
156,sharedreward,1,50.787049
156,sharedreward,2,50.118604
157,sharedreward,1,61.53151
157,sharedreward,2,37.738633
158,sharedreward,1,77.610855
158,sharedreward,2,63.955315
159,sharedreward,1,94.169096
159,sharedreward,2,86.700844
10317,sharedreward,1,31.127305
10317,sharedreward,2,31.002105
10369,sharedreward,1,32.106484
10369,sharedreward,2,32.329883
10402,sharedreward,1,29.628546
10402,sharedreward,2,28.764295
10418,sharedreward,1,32.44112
10418,sharedreward,2,29.770913
10462,sharedreward,1,24.171548
10462,sharedreward,2,NA
10478,sharedreward,1,36.000543
10478,sharedreward,2,32.695325
10486,sharedreward,1,27.218073
10486,sharedreward,2,28.751678
10529,sharedreward,1,28.541594
10529,sharedreward,2,29.153135
10541,sharedreward,1,25.526209
10541,sharedreward,2,23.504734
10555,sharedreward,1,NA
10555,sharedreward,2,NA
10559,sharedreward,1,30.142414
10559,sharedreward,2,28.191895
10572,sharedreward,1,29.711643
10572,sharedreward,2,26.284555
10581,sharedreward,1,23.828172
10581,sharedreward,2,25.172631
10584,sharedreward,1,32.406897
10584,sharedreward,2,NA
10585,sharedreward,1,34.164445
10585,sharedreward,2,34.311225
10589,sharedreward,1,32.498858
10589,sharedreward,2,32.700926
10590,sharedreward,1,31.063702
10590,sharedreward,2,30.033294
10596,sharedreward,1,31.7999
10596,sharedreward,2,31.927624
10603,sharedreward,1,33.316786
10603,sharedreward,2,NA
10606,sharedreward,1,37.143489
10606,sharedreward,2,37.607013
10608,sharedreward,1,43.486676
10608,sharedreward,2,40.625075
10617,sharedreward,1,34.385345
10617,sharedreward,2,NA
10636,sharedreward,1,35.015518
10636,sharedreward,2,34.683229
10638,sharedreward,1,37.466624
10638,sharedreward,2,36.008964
10640,sharedreward,1,55.989535
10640,sharedreward,2,50.484473
10641,sharedreward,1,32.648707
10641,sharedreward,2,NA
10642,sharedreward,1,53.973403
10642,sharedreward,2,51.932137
10644,sharedreward,1,30.615411
10644,sharedreward,2,31.343992
10647,sharedreward,1,54.085685
10647,sharedreward,2,59.532193
10649,sharedreward,1,32.293776
10649,sharedreward,2,25.393167
10652,sharedreward,1,38.271684
10652,sharedreward,2,36.940463
10656,sharedreward,1,36.879866
10656,sharedreward,2,35.811294
10657,sharedreward,1,26.356829
10657,sharedreward,2,25.470388
10661,sharedreward,1,23.487284
10661,sharedreward,2,24.773005
10663,sharedreward,1,33.598248
10663,sharedreward,2,34.897857
10668,sharedreward,1,49.295579
10668,sharedreward,2,NA
10673,sharedreward,1,32.710122
10673,sharedreward,2,33.588457
10674,sharedreward,1,32.886991
10674,sharedreward,2,29.062772
10677,sharedreward,1,27.312375
10677,sharedreward,2,24.81233
10685,sharedreward,1,52.721002
10685,sharedreward,2,43.538826
10690,sharedreward,1,48.786155
10690,sharedreward,2,51.056063
10691,sharedreward,1,34.426198
10691,sharedreward,2,34.529975
10700,sharedreward,1,36.617655
10700,sharedreward,2,40.607471
10701,sharedreward,1,27.675924
10701,sharedreward,2,29.505166
10713,sharedreward,1,49.316777
10713,sharedreward,2,48.392774
10716,sharedreward,1,50.364742
10716,sharedreward,2,52.769726
10718,sharedreward,1,44.492761
10718,sharedreward,2,50.096092
10720,sharedreward,1,54.783834
10720,sharedreward,2,52.674519
10723,sharedreward,1,26.112043
10723,sharedreward,2,24.870961
10741,sharedreward,1,27.805927
10741,sharedreward,2,27.602487
10748,sharedreward,1,57.433854
10748,sharedreward,2,56.082574
10767,sharedreward,1,54.085678
10767,sharedreward,2,49.088121
10770,sharedreward,1,42.859806
10770,sharedreward,2,47.202389
10777,sharedreward,1,44.378658
10777,sharedreward,2,41.982594
10781,sharedreward,1,49.491408
10781,sharedreward,2,55.536929
10783,sharedreward,1,50.222203
10783,sharedreward,2,51.519303
10785,sharedreward,1,43.702147
10785,sharedreward,2,44.923886
10794,sharedreward,1,47.027155
10794,sharedreward,2,46.234549
10800,sharedreward,1,40.952853
10800,sharedreward,2,39.827512
10801,sharedreward,1,58.15494
10801,sharedreward,2,52.705596
10802,sharedreward,1,49.314556
10802,sharedreward,2,48.169215
10803,sharedreward,1,61.418492
10803,sharedreward,2,NA
10804,sharedreward,1,50.825728
10804,sharedreward,2,49.173832
10806,sharedreward,1,43.971018
10806,sharedreward,2,43.055319
10807,sharedreward,1,36.827754
10807,sharedreward,2,36.427392
10809,sharedreward,1,51.101545
10809,sharedreward,2,52.40982
10810,sharedreward,1,43.174419
10810,sharedreward,2,38.905
10812,sharedreward,1,43.836739
10812,sharedreward,2,50.87712
10817,sharedreward,1,54.202329
10817,sharedreward,2,51.011212
10827,sharedreward,1,51.567373
10827,sharedreward,2,52.652522
10831,sharedreward,1,49.610204
10831,sharedreward,2,46.817417
10834,sharedreward,1,50.783602
10834,sharedreward,2,49.253987
10836,sharedreward,1,NA
10836,sharedreward,2,NA
10838,sharedreward,1,40.868925
10838,sharedreward,2,27.478227
10843,sharedreward,1,39.450689
10843,sharedreward,2,35.83107
10850,sharedreward,1,58.048233
10850,sharedreward,2,57.036666
10854,sharedreward,1,40.74781
10854,sharedreward,2,44.499732
10857,sharedreward,1,38.622986
10857,sharedreward,2,35.836829
10858,sharedreward,1,42.858608
10858,sharedreward,2,43.244965
10860,sharedreward,1,54.599901
10860,sharedreward,2,39.950948
10862,sharedreward,1,46.118047
10862,sharedreward,2,45.486383
10863,sharedreward,1,45.363904
10863,sharedreward,2,46.34767
10866,sharedreward,1,49.448661
10866,sharedreward,2,46.466776
10875,sharedreward,1,47.031619
10875,sharedreward,2,47.963716
10881,sharedreward,1,32.997341
10881,sharedreward,2,NA
10886,sharedreward,1,34.618854
10886,sharedreward,2,NA
10887,sharedreward,1,39.439566
10887,sharedreward,2,34.742965
10896,sharedreward,1,46.925029
10896,sharedreward,2,53.072583
10897,sharedreward,1,44.138494
10897,sharedreward,2,NA
10898,sharedreward,1,41.284051
10898,sharedreward,2,45.195635
10908,sharedreward,1,38.391301
10908,sharedreward,2,40.190249
10913,sharedreward,1,42.78371
10913,sharedreward,2,41.09453
10918,sharedreward,1,58.5881
10918,sharedreward,2,56.739597
10924,sharedreward,1,58.641801
10924,sharedreward,2,60.765061
10926,sharedreward,1,34.511835
10926,sharedreward,2,36.254452
10928,sharedreward,1,50.945661
10928,sharedreward,2,47.427395
10929,sharedreward,1,52.606015
10929,sharedreward,2,52.314277
10930,sharedreward,1,49.794499
10930,sharedreward,2,46.102367
10938,sharedreward,1,47.99617
10938,sharedreward,2,40.569039
10940,sharedreward,1,41.417713
10940,sharedreward,2,42.657376
10950,sharedreward,1,36.159073
10950,sharedreward,2,40.375107
10951,sharedreward,1,43.540112
10951,sharedreward,2,40.480597
10952,sharedreward,1,34.918208
10952,sharedreward,2,43.374017
10953,sharedreward,1,37.443936
10953,sharedreward,2,35.263128
10954,sharedreward,1,35.074726
10954,sharedreward,2,37.26793
10956,sharedreward,1,54.815724
10956,sharedreward,2,54.047404
10958,sharedreward,1,51.060106
10958,sharedreward,2,42.209399
10969,sharedreward,1,57.993729
10969,sharedreward,2,58.743504
10974,sharedreward,1,36.011163
10974,sharedreward,2,47.765127
10977,sharedreward,1,43.972848
10977,sharedreward,2,46.337484
10983,sharedreward,1,55.970331
10983,sharedreward,2,57.124313
10984,sharedreward,1,40.239686
10984,sharedreward,2,38.185517
11005,sharedreward,1,26.51159
11005,sharedreward,2,20.185648
11031,sharedreward,1,56.074851
11031,sharedreward,2,55.338009
