subject_id	run01_excluded	run02_excluded	run01_coverage	run02_coverage	run01_vmpfc_coverage	run02_vmpfc_coverage	exclusion_reason
11145	0	0	93.92	94.33	97.90	98.30	
11164	0	NA	92.97	NA	93.31	NA	
11167	0	0	94.71	93.88	98.82	98.77	
11168	0	0	94.74	94.80	96.05	92.65	
11171	0	0	90.43	90.72	98.94	98.51	
11177	0	0	91.72	91.67	94.97	94.80	
11192	0	0	92.26	92.03	95.89	94.54	
11193	0	0	91.11	91.06	93.53	95.39	
112	0	0	87.86	87.67	92.51	91.21	
11201	0	NA	91.15	NA	99.83	NA	
11203	0	0	89.27	89.00	96.10	96.48	
11209	0	0	90.82	90.41	97.33	96.60	
11227	0	0	91.25	91.48	98.09	98.42	
11238	0	0	93.22	92.95	98.96	99.31	
11241	0	0	93.39	93.32	99.83	99.81	
11246	0	0	92.86	92.25	97.52	98.16	
11276	0	0	94.88	94.08	97.54	98.04	
11286	0	NA	92.12	NA	98.18	NA	
113	0	0	89.58	90.03	96.53	96.79	
11301	0	0	91.70	91.74	96.83	96.57	
11311	0	0	90.98	91.06	96.48	97.40	
11312	0	0	90.05	89.65	95.39	95.87	
11316	0	0	91.70	91.00	98.46	99.50	
11318	0	0	91.26	91.30	91.83	90.50	
11321	0	0	91.43	91.77	94.42	94.87	
11325	0	0	90.68	90.59	90.01	89.94	
11326	0	0	90.27	90.30	98.44	98.37	
11329	0	0	91.31	91.19	95.77	96.69	
11330	0	0	91.96	91.79	89.84	90.64	
11337	0	0	90.00	90.00	87.57	89.01	
11338	0	0	93.63	93.80	93.05	93.93	
11340	0	0	92.72	92.80	95.82	96.10	
11343	0	0	91.64	91.11	99.86	99.83	
11345	0	0	92.16	92.15	95.06	95.42	
11348	0	0	92.35	92.37	92.87	92.91	
11358	0	0	93.66	93.38	97.47	96.60	
11364	0	0	88.95	89.00	95.25	94.68	
11367	0	0	92.86	92.70	98.09	98.75	
11374	0	0	91.80	91.64	98.23	98.96	
11376	0	0	92.97	92.96	98.16	97.40	
11377	0	0	93.52	93.75	97.35	96.98	
11387	0	0	91.54	91.83	95.25	95.42	
11410	0	0	89.82	89.16	98.51	95.58	
11416	0	NA	94.68	NA	98.84	NA	
11426	0	NA	90.37	NA	98.13	NA	
11430	0	NA	89.96	NA	97.85	NA	
11432	0	0	90.47	90.59	98.80	98.68	
11433	0	0	91.65	91.62	97.85	98.35	
11435	0	0	90.52	90.63	96.72	96.53	
11439	0	NA	90.65	NA	91.61	NA	
11440	0	0	89.30	90.10	96.60	97.78	
11443	0	NA	89.48	NA	98.51	NA	
11450	0	NA	90.24	NA	97.28	NA	
11451	0	0	95.68	95.92	99.17	99.10	
11461	0	0	94.18	94.50	96.79	97.38	
11462	0	NA	94.82	NA	97.80	NA	
11472	0	0	90.40	89.16	97.07	95.98	
11492	0	0	92.10	91.90	97.78	99.67	
11493	0	0	91.80	91.64	93.86	94.50	
11498	0	NA	91.41	NA	98.49	NA	
115	0	0	88.63	88.55	99.24	98.09	
11517	0	0	91.97	91.71	98.77	99.08	
11518	0	0	89.53	89.60	93.67	94.45	
11523	0	0	91.82	92.03	98.54	98.32	
11526	0	0	90.58	90.45	79.66	77.79	
11527	0	0	92.20	92.00	95.84	95.25	
11529	0	0	92.36	92.70	84.36	92.46	
11530	0	0	91.42	91.61	95.46	95.68	
11532	0	0	91.49	91.39	98.18	97.87	
11533	0	0	93.76	93.50	99.13	98.96	
11534	0	0	90.23	89.82	98.75	98.70	
11535	0	0	91.80	92.25	95.53	95.46	
11536	0	0	88.68	88.71	94.52	94.24	
11539	0	0	91.31	91.44	96.24	96.88	
11540	0	0	93.68	93.53	86.58	84.29	
11542	0	0	93.45	93.27	99.72	99.34	
11545	0	0	91.23	90.63	97.92	92.32	
11551	0	0	93.79	94.75	92.30	96.57	
11559	0	0	91.39	91.68	95.16	97.28	
11560	0	0	90.79	90.57	96.34	95.77	
11563	0	0	93.61	93.52	96.72	96.08	
11570	0	0	90.52	89.62	93.98	89.09	
11572	0	0	91.86	92.06	79.38	83.89	
11579	0	0	95.39	95.53	95.87	93.88	
11586	0	NA	92.29	NA	89.70	NA	
11587	0	0	91.23	91.07	91.16	91.26	
11588	0	0	92.87	92.35	93.13	84.98	
11591	0	0	93.34	93.22	82.12	89.18	
11597	0	0	90.66	91.24	77.58	89.94	
11598	0	0	92.46	91.82	88.12	79.54	
116	0	0	86.32	85.93	99.41	98.09	
11600	0	0	89.02	87.86	79.38	81.64	
11606	0	0	92.12	92.23	91.92	94.31	
11614	0	0	90.30	90.21	91.35	91.07	
11622	0	0	88.57	88.66	93.50	93.24	
11623	0	NA	91.96	NA	92.49	NA	
11625	0	0	94.51	94.72	88.19	90.05	
11626	0	0	91.49	91.65	92.77	94.76	
11628	0	0	91.59	91.71	70.19	79.78	
11631	0	0	91.65	91.62	89.89	93.24	
11651	0	0	92.16	91.99	36.14	36.85	
11660	0	0	95.90	95.69	89.37	93.43	
11670	0	0	90.72	91.04	91.87	90.13	
11679	0	0	93.03	93.05	92.61	93.74	
11692	0	0	94.63	94.67	81.55	85.07	
117	0	0	87.05	87.17	86.06	87.74	
11705	0	0	91.82	91.70	91.14	90.46	
11709	0	0	91.53	91.19	95.58	92.51	
11710	0	0	90.07	89.77	94.71	95.87	
11720	0	0	92.01	91.30	96.36	94.21	
118	0	0	86.06	84.28	72.57	72.60	
120	1	1	82.52	79.72	58.52	37.96	run01_low_coverage;run02_low_coverage
121	0	0	88.83	88.82	95.58	95.23	
122	0	0	91.05	90.90	95.44	95.32	
124	0	0	88.81	88.79	96.10	95.51	
125	0	0	91.04	91.32	91.19	92.68	
126	0	0	87.25	87.32	88.66	88.52	
127	0	0	91.58	91.62	98.51	98.56	
128	0	0	91.83	91.92	95.46	96.65	
129	0	0	89.92	89.72	97.09	96.03	
130	0	0	89.17	89.47	92.91	93.83	
131	0	0	89.53	89.17	97.90	97.21	
132	0	0	91.27	90.65	97.42	96.98	
133	0	0	92.74	92.60	99.17	99.39	
134	0	0	87.27	87.31	92.91	92.61	
135	0	0	90.86	90.60	98.84	98.72	
136	0	0	91.72	91.43	95.56	95.04	
137	0	0	91.00	90.85	95.91	96.08	
138	1	0	82.26	82.91	19.35	19.47	run01_low_coverage
140	0	0	89.63	89.30	94.76	95.75	
141	0	0	91.55	91.53	97.85	97.33	
142	0	0	91.90	91.88	98.84	99.08	
143	0	0	93.56	93.56	100.00	99.98	
144	0	0	92.06	91.92	99.20	98.72	
145	0	0	91.06	83.17	98.70	62.60	
147	0	0	91.76	91.61	99.01	98.77	
149	0	0	92.50	93.36	96.93	97.02	
150	0	0	87.60	87.22	91.02	91.05	
151	0	0	89.44	89.52	96.13	96.57	
152	0	0	92.14	91.49	96.41	96.08	
153	0	0	90.62	90.44	98.11	98.77	
154	0	0	91.83	91.11	94.85	93.43	
155	0	0	91.40	91.81	99.65	99.74	
156	0	0	87.69	86.99	83.91	82.23	
157	0	0	87.91	87.42	96.60	95.16	
158	0	0	88.71	88.08	96.83	97.21	
159	0	0	89.38	89.48	99.27	99.20	
