dataset	subject	session	type	runs	strategy	cope	contrast	cope_path	varcope_path	mask_path	ratings_eligible
ds003745	144		act	01,02	fixed_effects	16	F-C (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope16.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope16.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope16.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	17	F-S (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope17.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope17.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope17.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	18	S-C (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope18.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope18.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope18.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	19	F-C (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope19.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope19.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope19.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	23	F-(S+C) all	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope23.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope23.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope23.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	24	F-(S+C) rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope24.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope24.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope24.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	25	F-(S+C) pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope25.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope25.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope25.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	26	F-(S+C) rew-pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope26.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope26.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope26.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	27	F-S (pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope27.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope27.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope27.feat/mask.nii.gz	true
ds003745	144		act	01,02	fixed_effects	28	F-C (pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope28.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope28.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-act_sm-6.gfeat/cope28.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	1	C_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope1.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope1.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope1.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	2	C_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope2.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope2.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope2.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	3	F_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope3.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope3.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope3.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	4	F_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope4.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope4.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	5	S_pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope5.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope5.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope5.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	6	S_rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope6.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope6.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	10	rew-pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope10.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope10.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	11	F-S	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope11.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope11.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	12	F-C	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope12.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope12.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope12.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	13	(F+S)-C	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope13.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope13.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope13.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	14	F-S (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope14.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope14.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope14.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	15	S-C (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope15.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope15.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope15.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	16	F-C (rew-pun)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope16.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope16.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope16.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	17	F-S (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope17.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope17.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope17.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	18	S-C (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope18.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope18.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope18.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	19	F-C (rew)	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope19.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope19.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope19.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	23	F-(S+C) all	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope23.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope23.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope23.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	24	F-(S+C) rew	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope24.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope24.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope24.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	25	F-(S+C) pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope25.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope25.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope25.feat/mask.nii.gz	true
ds003745	144		ppi_seed-vs	01,02	fixed_effects	26	F-(S+C) rew-pun	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope26.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope26.feat/stats/varcope1.nii.gz	/ZPOOL/data/projects/sharedreward-aging/derivatives/fsl/ds003745/sub-144/L2_task-sharedreward_model-fulltrial_type-ppi_seed-vs_sm-6.gfeat/cope26.feat/mask.nii.gz	true
